"outcome","input","quant"
65.0575873568115,1,0.05
70.635730606742,1,0.25
74.1145110221072,1,0.5
77.0482895571034,1,0.75
81.1271288306588,1,0.95
64.7136872905043,2,0.05
70.3307429193292,2,0.25
73.8170035494069,2,0.5
76.6895878719203,2,0.75
80.4754232430599,2,0.95
62.3333120834745,3,0.05
68.0606349113882,3,0.25
71.5973602598965,3,0.5
75.0003121518769,3,0.75
79.3363326427995,3,0.95
64.5904976027147,4,0.05
70.1184080222794,4,0.25
73.4994546978419,4,0.5
76.313636843673,4,0.75
80.0522997742509,4,0.95
64.9829482170201,5,0.05
70.5022945238731,5,0.25
73.9038000655371,5,0.5
76.6894248227314,5,0.75
80.3823836978393,5,0.95
64.5102824126988,6,0.05
69.7335290060623,6,0.25
73.1127033317299,6,0.5
75.8347395757268,6,0.75
79.5648883509847,6,0.95
63.8618907639076,7,0.05
69.2818418402903,7,0.25
72.5991126363304,7,0.5
75.495608253811,7,0.75
79.5260436856752,7,0.95
