"outcome","input","quant"
0.0917868188688915,1,0.05
0.103004931716632,1,0.25
0.111379085807135,1,0.5
0.133202320072599,1,0.75
0.139990779970304,1,0.95
0.0725788335507348,2,0.05
0.0852713469044297,2,0.25
0.1145169800179,2,0.5
0.161262129797135,2,0.75
0.185318549901704,2,0.95
0.0803563329898361,3,0.05
0.0957687078656122,3,0.25
0.109139731409226,3,0.5
0.142567940820184,3,0.75
0.150466355839679,3,0.95
0.0823364442968815,4,0.05
0.103131221321669,4,0.25
0.126956137167312,4,0.5
0.161087463999621,4,0.75
0.171082518600538,4,0.95
0.0998444457312879,5,0.05
0.110690601629355,5,0.25
0.131562849573065,5,0.5
0.147308822630853,5,0.75
0.152241136472209,5,0.95
0.0721939656158171,6,0.05
0.0818426359431743,6,0.25
0.0974973896279554,6,0.5
0.123429749924845,6,0.75
0.131723763327054,6,0.95
0.0971901630460493,7,0.05
0.108467225574895,7,0.25
0.125825385670715,7,0.5
0.170064146921001,7,0.75
0.176339049437008,7,0.95
