"outcome","input","quant"
14.1105503940405,0.35,0.05
25.2943644412194,0.35,0.25
29.9264195666131,0.35,0.5
35.4054266365183,0.35,0.75
44.8678159168995,0.35,0.95
14.1105503940405,0.45,0.05
25.2943644412194,0.45,0.25
29.9264195666131,0.45,0.5
35.4054266365183,0.45,0.75
44.8678159168995,0.45,0.95
14.1105503940405,0.55,0.05
25.2943644412194,0.55,0.25
29.9264195666131,0.55,0.5
35.4054266365183,0.55,0.75
44.8678159168995,0.55,0.95
14.1105503940405,0.65,0.05
25.2943644412194,0.65,0.25
29.9264195666131,0.65,0.5
35.4054266365183,0.65,0.75
44.8678159168995,0.65,0.95
