"outcome","input","quant"
0.469389529898533,0.35,0.05
0.535965550447421,0.35,0.25
0.549919590426181,0.35,0.5
0.600248771491842,0.35,0.75
0.631549995100737,0.35,0.95
0.469389529898533,0.45,0.05
0.535965550447421,0.45,0.25
0.549919590426181,0.45,0.5
0.600248771491842,0.45,0.75
0.631549995100737,0.45,0.95
0.469389529898533,0.55,0.05
0.535965550447421,0.55,0.25
0.549919590426181,0.55,0.5
0.600248771491842,0.55,0.75
0.631549995100737,0.55,0.95
0.469389529898533,0.65,0.05
0.535965550447421,0.65,0.25
0.549919590426181,0.65,0.5
0.600248771491842,0.65,0.75
0.631549995100737,0.65,0.95
