"outcome","input","quant"
0.0841586446704786,0.35,0.05
0.0937498589124105,0.35,0.25
0.102588300189928,0.35,0.5
0.117233736267329,0.35,0.75
0.125594550259625,0.35,0.95
0.0841586446704786,0.45,0.05
0.0937498589124105,0.45,0.25
0.102588300189928,0.45,0.5
0.117233736267329,0.45,0.75
0.125594550259625,0.45,0.95
0.0841586446704786,0.55,0.05
0.0937498589124105,0.55,0.25
0.102588300189928,0.55,0.5
0.117233736267329,0.55,0.75
0.125594550259625,0.55,0.95
0.0841586446704786,0.65,0.05
0.0937498589124105,0.65,0.25
0.102588300189928,0.65,0.5
0.117233736267329,0.65,0.75
0.125594550259625,0.65,0.95
