"outcome","input","quant"
66.5214298804358,1,0.05
71.8759883771099,1,0.25
74.9340824884617,1,0.5
77.4085559058005,1,0.75
80.0963695180275,1,0.95
62.5154049843649,2,0.05
67.810131952632,2,0.25
70.8276036812206,2,0.5
73.5517471048128,2,0.75
76.2257585124079,2,0.95
61.2118115406342,3,0.05
66.3342392435615,3,0.25
69.6732308182829,3,0.5
72.7255255767098,3,0.75
75.4972029959917,3,0.95
67.3369614656552,4,0.05
72.4670253825241,4,0.25
75.5535178468909,4,0.5
78.386541256663,4,0.75
81.7694930299222,4,0.95
63.6022943000954,5,0.05
68.3885125061905,5,0.25
71.537914013206,5,0.5
74.357654019641,5,0.75
77.4514889895421,5,0.95
61.962523839002,6,0.05
67.1558531773757,6,0.25
70.2212613211182,6,0.5
73.019211078062,6,0.75
75.7460592936667,6,0.95
65.2831846436825,7,0.05
70.4793674071976,7,0.25
73.6103645925006,7,0.5
76.3999567580994,7,0.75
79.7442833319174,7,0.95
64.4829667598535,8,0.05
69.1915290763177,8,0.25
72.2472157709335,8,0.5
75.286419672625,8,0.75
78.4368108842983,8,0.95
64.5251781337923,9,0.05
69.3613656486379,9,0.25
72.1563732125779,9,0.5
74.6999065334286,9,0.75
77.3189275632729,9,0.95
66.1148765824914,10,0.05
71.2086505357335,10,0.25
74.3241138774334,10,0.5
77.1350663305864,10,0.75
80.4920631256736,10,0.95
64.3239381203591,11,0.05
69.4755391331336,11,0.25
72.488378352576,11,0.5
75.2345331211902,11,0.75
78.1810922841705,11,0.95
62.1483273771225,12,0.05
67.2506596938955,12,0.25
70.4262408782397,12,0.5
73.4542878533651,12,0.75
76.1773590664784,12,0.95
