"outcome","input","quant"
0.48253848163262,1,0.05
0.550621514820536,1,0.25
0.569905395161381,1,0.5
0.623435845663403,1,0.75
0.653745409366522,1,0.95
0.481096053184388,2,0.05
0.547951233500675,2,0.25
0.562871717213613,2,0.5
0.618250033984076,2,0.75
0.652252619690961,2,0.95
0.472224367643466,3,0.05
0.540437098545266,3,0.25
0.557500248169737,3,0.5
0.612298157792566,3,0.75
0.644870665195359,3,0.95
0.473938696430461,4,0.05
0.541611076828978,4,0.25
0.557034002709422,4,0.5
0.610596991985957,4,0.75
0.642936623205388,4,0.95
0.470255928987884,5,0.05
0.539531811210866,5,0.25
0.556521174034218,5,0.5
0.610951828895146,5,0.75
0.642621134303398,5,0.95
0.472268116238126,6,0.05
0.539795473408829,6,0.25
0.555664992443233,6,0.5
0.609991477316398,6,0.75
0.643522887677977,6,0.95
0.472268116238126,7,0.05
0.539795473408829,7,0.25
0.555664992443233,7,0.5
0.609991477316398,7,0.75
0.643522887677977,7,0.95
0.472268116238126,8,0.05
0.539795473408829,8,0.25
0.555664992443233,8,0.5
0.609991477316398,8,0.75
0.643522887677977,8,0.95
0.472268116238126,9,0.05
0.539795473408829,9,0.25
0.555664992443233,9,0.5
0.609991477316398,9,0.75
0.643522887677977,9,0.95
0.472268116238126,10,0.05
0.539795473408829,10,0.25
0.555664992443233,10,0.5
0.609991477316398,10,0.75
0.643522887677977,10,0.95
0.472268116238126,11,0.05
0.539795473408829,11,0.25
0.555664992443233,11,0.5
0.609991477316398,11,0.75
0.643522887677977,11,0.95
0.472268116238126,12,0.05
0.539795473408829,12,0.25
0.555664992443233,12,0.5
0.609991477316398,12,0.75
0.643522887677977,12,0.95
