"outcome","input","quant"
0.0688052375065775,1,0.05
0.0900214890351775,1,0.25
0.111970143923939,1,0.5
0.133679929536479,1,0.75
0.16237851031162,1,0.95
0.0733925034285313,2,0.05
0.095824214965015,2,0.25
0.113967499359259,2,0.5
0.143332851044109,2,0.75
0.170999909950658,2,0.95
0.0743057084420914,3,0.05
0.0950368495621397,3,0.25
0.116049580568528,3,0.5
0.144941380931404,3,0.75
0.168708597947638,3,0.95
0.0757465435131596,4,0.05
0.0981523705161777,4,0.25
0.118892459606973,4,0.5
0.146171953104991,4,0.75
0.170320302720954,4,0.95
0.0802329069882897,5,0.05
0.10640650337698,5,0.25
0.125365709953818,5,0.5
0.153333528701313,5,0.75
0.181369345207877,5,0.95
0.0757864684047154,6,0.05
0.0993507530366912,6,0.25
0.118544966069759,6,0.5
0.145999533466158,6,0.75
0.171082518600538,6,0.95
0.0757864684047154,7,0.05
0.0993507530366912,7,0.25
0.118544966069759,7,0.5
0.145999533466158,7,0.75
0.171082518600538,7,0.95
0.0757864684047154,8,0.05
0.0993507530366912,8,0.25
0.118544966069759,8,0.5
0.145999533466158,8,0.75
0.171082518600538,8,0.95
0.0757864684047154,9,0.05
0.0993507530366912,9,0.25
0.118544966069759,9,0.5
0.145999533466158,9,0.75
0.171082518600538,9,0.95
0.0757864684047154,10,0.05
0.0993507530366912,10,0.25
0.118544966069759,10,0.5
0.145999533466158,10,0.75
0.171082518600538,10,0.95
0.0757864684047154,11,0.05
0.0993507530366912,11,0.25
0.118544966069759,11,0.5
0.145999533466158,11,0.75
0.171082518600538,11,0.95
0.0757864684047154,12,0.05
0.0993507530366912,12,0.25
0.118544966069759,12,0.5
0.145999533466158,12,0.75
0.171082518600538,12,0.95
