"outcome","input","quant"
2.03970512762234,1,0.05
8.98258449420669,1,0.25
12.6224193415948,1,0.5
16.1875625826106,1,0.75
20.1953062009868,1,0.95
14.8273974970142,2,0.05
20.7797534837153,2,0.25
24.2736993786474,2,0.5
27.9002141968341,2,0.75
35.75210649985,2,0.95
11.0349942817213,3,0.05
22.3455506247209,3,0.25
27.3933743239612,3,0.5
30.4544098022491,3,0.75
34.3259592644618,3,0.95
21.8372912014456,5,0.05
25.1153094560907,5,0.25
27.983585372614,5,0.5
32.1545308618456,5,0.75
42.8507084805398,5,0.95
21.6089423581594,6,0.05
29.0780746657937,6,0.25
35.587766482232,6,0.5
39.1231353411666,6,0.75
42.2580685022453,6,0.95
24.5594834520665,7,0.05
29.8961790354867,7,0.25
40.2350184019853,7,0.5
43.9303506847927,7,0.75
47.1691740324327,7,0.95
15.0147230356618,8,0.05
21.7740411550537,8,0.25
26.007360076317,8,0.5
28.8290468993101,8,0.75
32.3674886752306,8,0.95
15.222003586494,9,0.05
23.6257654054401,9,0.25
26.9221491268415,9,0.5
30.4945121154339,9,0.75
40.9684172488306,9,0.95
5.95059350371618,11,0.05
17.3089806845386,11,0.25
25.3050502574005,11,0.5
28.5090706395118,11,0.75
31.8741904951745,11,0.95
19.0805760242891,12,0.05
24.3681726127577,12,0.25
28.5047746356128,12,0.5
34.7964655364933,12,0.75
43.8684303343044,12,0.95
16.0043420303783,13,0.05
21.5015692143718,13,0.25
27.0707361837126,13,0.5
32.1046682601177,13,0.75
38.7128148230003,13,0.95
22.5076350403058,14,0.05
26.1132429531547,14,0.25
29.546448268891,14,0.5
33.4711640254741,14,0.75
41.6115389522738,14,0.95
21.4107312608227,15,0.05
27.005279264161,15,0.25
32.1757658866702,15,0.5
39.2321165840918,15,0.75
45.3879346998827,15,0.95
17.7069296598119,16,0.05
22.6444758745521,16,0.25
28.8614563217756,16,0.5
34.9111560886601,16,0.75
41.4904051114148,16,0.95
18.9200853556552,17,0.05
25.5927354105495,17,0.25
28.9405516248041,17,0.5
31.6087841606844,17,0.75
36.2582598337719,17,0.95
20.7185936333926,18,0.05
30.145321831839,18,0.25
35.1223604903845,18,0.5
39.3673464451416,18,0.75
43.939785809198,18,0.95
15.611549268309,19,0.05
25.6374252037685,19,0.25
30.9663060319608,19,0.5
33.8805442169725,19,0.75
36.4533007593944,19,0.95
