"outcome","input","quant"
0.0771147963119378,1,0.05
0.0999358113052558,1,0.25
0.118033889871701,1,0.5
0.144008547413239,1,0.75
0.170999909950658,1,0.95
0.0771147963119378,2,0.05
0.0999358113052558,2,0.25
0.118033889871701,2,0.5
0.144008547413239,2,0.75
0.170999909950658,2,0.95
0.0771147963119378,3,0.05
0.0999358113052558,3,0.25
0.118033889871701,3,0.5
0.144008547413239,3,0.75
0.170999909950658,3,0.95
0.0771147963119378,5,0.05
0.0999358113052558,5,0.25
0.118033889871701,5,0.5
0.144008547413239,5,0.75
0.170999909950658,5,0.95
0.0771147963119378,6,0.05
0.0999358113052558,6,0.25
0.118033889871701,6,0.5
0.144008547413239,6,0.75
0.170999909950658,6,0.95
0.0771147963119378,7,0.05
0.0999358113052558,7,0.25
0.118033889871701,7,0.5
0.144008547413239,7,0.75
0.170999909950658,7,0.95
0.0771147963119378,8,0.05
0.0999358113052558,8,0.25
0.118033889871701,8,0.5
0.144008547413239,8,0.75
0.170999909950658,8,0.95
0.0765807216250037,9,0.05
0.0993507530366912,9,0.25
0.118033889871701,9,0.5
0.144008547413239,9,0.75
0.170999909950658,9,0.95
0.0765807216250037,11,0.05
0.0993507530366912,11,0.25
0.118033889871701,11,0.5
0.144008547413239,11,0.75
0.170999909950658,11,0.95
0.0765807216250037,12,0.05
0.0993507530366912,12,0.25
0.118033889871701,12,0.5
0.144008547413239,12,0.75
0.170999909950658,12,0.95
0.0765807216250037,13,0.05
0.0993507530366912,13,0.25
0.118033889871701,13,0.5
0.144008547413239,13,0.75
0.170999909950658,13,0.95
0.0765807216250037,14,0.05
0.0993507530366912,14,0.25
0.118033889871701,14,0.5
0.144008547413239,14,0.75
0.170999909950658,14,0.95
0.0765807216250037,15,0.05
0.0993507530366912,15,0.25
0.118033889871701,15,0.5
0.144008547413239,15,0.75
0.170999909950658,15,0.95
0.0765807216250037,16,0.05
0.0993507530366912,16,0.25
0.118033889871701,16,0.5
0.144008547413239,16,0.75
0.170999909950658,16,0.95
0.0765807216250037,17,0.05
0.0993507530366912,17,0.25
0.118033889871701,17,0.5
0.144008547413239,17,0.75
0.170999909950658,17,0.95
0.0765807216250037,18,0.05
0.0993507530366912,18,0.25
0.118033889871701,18,0.5
0.144008547413239,18,0.75
0.170999909950658,18,0.95
0.0765807216250037,19,0.05
0.0993507530366912,19,0.25
0.118033889871701,19,0.5
0.144008547413239,19,0.75
0.170999909950658,19,0.95
