"outcome","input","quant"
15.4996126448237,1,0.05
25.5465289196574,1,0.25
30.4544098022491,1,0.5
37.3695085316944,1,0.75
44.5333641918938,1,0.95
13.6302238422588,2,0.05
24.846177585513,2,0.25
29.0142498878699,2,0.5
33.5188043786466,2,0.75
41.5823141005241,2,0.95
12.9488195414256,3,0.05
23.5246172881766,3,0.25
27.9420814786834,3,0.5
32.2593249552997,3,0.75
39.9903879177794,3,0.95
12.2815764376225,4,0.05
22.5283248192203,4,0.25
26.8899487099985,4,0.5
30.9730051842846,4,0.75
38.4761326448755,4,0.95
11.9738633333899,5,0.05
22.0446422224001,5,0.25
26.3542548617476,5,0.5
30.6298090064369,5,0.75
38.0711473001074,5,0.95
