"outcome","input","quant"
0.472691327447801,1,0.05
0.540537539697947,1,0.25
0.560087974819811,1,0.5
0.612192494237213,1,0.75
0.645410387811789,1,0.95
0.472691327447801,2,0.05
0.540537539697947,2,0.25
0.560087974819811,2,0.5
0.612192494237213,2,0.75
0.645410387811789,2,0.95
0.472691327447801,3,0.05
0.540537539697947,3,0.25
0.560087974819811,3,0.5
0.612192494237213,3,0.75
0.645410387811789,3,0.95
0.472691327447801,4,0.05
0.540537539697947,4,0.25
0.560087974819811,4,0.5
0.612192494237213,4,0.75
0.645410387811789,4,0.95
0.472691327447801,5,0.05
0.540537539697947,5,0.25
0.560087974819811,5,0.5
0.612192494237213,5,0.75
0.645410387811789,5,0.95
