"outcome","input","quant"
0.076980284491514,1,0.05
0.0994054835139152,1,0.25
0.118033889871701,1,0.5
0.144008547413239,1,0.75
0.170999909950658,1,0.95
0.076980284491514,2,0.05
0.0994054835139152,2,0.25
0.118033889871701,2,0.5
0.144008547413239,2,0.75
0.170999909950658,2,0.95
0.076980284491514,3,0.05
0.0994054835139152,3,0.25
0.118033889871701,3,0.5
0.144008547413239,3,0.75
0.170999909950658,3,0.95
0.076980284491514,4,0.05
0.0994054835139152,4,0.25
0.118033889871701,4,0.5
0.144008547413239,4,0.75
0.170999909950658,4,0.95
0.076980284491514,5,0.05
0.0994054835139152,5,0.25
0.118033889871701,5,0.5
0.144008547413239,5,0.75
0.170999909950658,5,0.95
