"outcome","input","quant"
62.7766095479685,2000,0.05
69.4250150770653,2000,0.25
72.6834109130452,2000,0.5
75.6747768082918,2000,0.75
80.1328845029104,2000,0.95
62.7766095479685,2001,0.05
69.4250150770653,2001,0.25
72.6834109130452,2001,0.5
75.6747768082918,2001,0.75
80.1328845029104,2001,0.95
62.7766095479685,2002,0.05
69.4250150770653,2002,0.25
72.6834109130452,2002,0.5
75.6747768082918,2002,0.75
80.1328845029104,2002,0.95
62.7766095479685,2003,0.05
69.4250150770653,2003,0.25
72.6834109130452,2003,0.5
75.6747768082918,2003,0.75
80.1328845029104,2003,0.95
62.7766095479685,2004,0.05
69.4250150770653,2004,0.25
72.6834109130452,2004,0.5
75.6747768082918,2004,0.75
80.1328845029104,2004,0.95
62.7766095479685,2005,0.05
69.4250150770653,2005,0.25
72.6834109130452,2005,0.5
75.6747768082918,2005,0.75
80.1328845029104,2005,0.95
62.7766095479685,2006,0.05
69.4250150770653,2006,0.25
72.6834109130452,2006,0.5
75.6747768082918,2006,0.75
80.1328845029104,2006,0.95
62.7766095479685,2007,0.05
69.4250150770653,2007,0.25
72.6834109130452,2007,0.5
75.6747768082918,2007,0.75
80.1328845029104,2007,0.95
62.7766095479685,2008,0.05
69.4250150770653,2008,0.25
72.6834109130452,2008,0.5
75.6747768082918,2008,0.75
80.1328845029104,2008,0.95
62.7766095479685,2009,0.05
69.4250150770653,2009,0.25
72.6834109130452,2009,0.5
75.6747768082918,2009,0.75
80.1328845029104,2009,0.95
62.7766095479685,2010,0.05
69.4250150770653,2010,0.25
72.6834109130452,2010,0.5
75.6747768082918,2010,0.75
80.1328845029104,2010,0.95
62.7766095479685,2011,0.05
69.4250150770653,2011,0.25
72.6834109130452,2011,0.5
75.6747768082918,2011,0.75
80.1328845029104,2011,0.95
62.7766095479685,2012,0.05
69.4250150770653,2012,0.25
72.6834109130452,2012,0.5
75.6747768082918,2012,0.75
80.1328845029104,2012,0.95
62.7766095479685,2013,0.05
69.4250150770653,2013,0.25
72.6834109130452,2013,0.5
75.6747768082918,2013,0.75
80.1328845029104,2013,0.95
62.7766095479685,2014,0.05
69.4250150770653,2014,0.25
72.6834109130452,2014,0.5
75.6747768082918,2014,0.75
80.1328845029104,2014,0.95
62.7766095479685,2015,0.05
69.4250150770653,2015,0.25
72.6834109130452,2015,0.5
75.6747768082918,2015,0.75
80.1328845029104,2015,0.95
62.7766095479685,2016,0.05
69.4250150770653,2016,0.25
72.6834109130452,2016,0.5
75.6747768082918,2016,0.75
80.1328845029104,2016,0.95
62.7766095479685,2017,0.05
69.4250150770653,2017,0.25
72.6834109130452,2017,0.5
75.6747768082918,2017,0.75
80.1328845029104,2017,0.95
62.7766095479685,2018,0.05
69.4250150770653,2018,0.25
72.6834109130452,2018,0.5
75.6747768082918,2018,0.75
80.1328845029104,2018,0.95
62.7766095479685,2019,0.05
69.4250150770653,2019,0.25
72.6834109130452,2019,0.5
75.6747768082918,2019,0.75
80.1328845029104,2019,0.95
62.7766095479685,2020,0.05
69.4250150770653,2020,0.25
72.6834109130452,2020,0.5
75.6747768082918,2020,0.75
80.1328845029104,2020,0.95
62.7766095479685,2021,0.05
69.4250150770653,2021,0.25
72.6834109130452,2021,0.5
75.6747768082918,2021,0.75
80.1328845029104,2021,0.95
62.7766095479685,2022,0.05
69.4250150770653,2022,0.25
72.6834109130452,2022,0.5
75.6747768082918,2022,0.75
80.1328845029104,2022,0.95
62.7766095479685,2023,0.05
69.4250150770653,2023,0.25
72.6834109130452,2023,0.5
75.6747768082918,2023,0.75
80.1328845029104,2023,0.95
