"outcome","input","quant"
0.0803563329898361,2000,0.05
0.102172151821383,2000,0.25
0.122172873971462,2000,0.5
0.145797850395005,2000,0.75
0.171082518600538,2000,0.95
0.0803563329898361,2001,0.05
0.102172151821383,2001,0.25
0.122172873971462,2001,0.5
0.145797850395005,2001,0.75
0.171082518600538,2001,0.95
0.0803563329898361,2002,0.05
0.102172151821383,2002,0.25
0.122172873971462,2002,0.5
0.145797850395005,2002,0.75
0.171082518600538,2002,0.95
0.0803563329898361,2003,0.05
0.102172151821383,2003,0.25
0.122172873971462,2003,0.5
0.145797850395005,2003,0.75
0.171082518600538,2003,0.95
0.0803563329898361,2004,0.05
0.102172151821383,2004,0.25
0.122172873971462,2004,0.5
0.145797850395005,2004,0.75
0.171082518600538,2004,0.95
0.0803563329898361,2005,0.05
0.102172151821383,2005,0.25
0.122172873971462,2005,0.5
0.145797850395005,2005,0.75
0.171082518600538,2005,0.95
0.0803563329898361,2006,0.05
0.102172151821383,2006,0.25
0.122172873971462,2006,0.5
0.145797850395005,2006,0.75
0.171082518600538,2006,0.95
0.0803563329898361,2007,0.05
0.102172151821383,2007,0.25
0.122172873971462,2007,0.5
0.145797850395005,2007,0.75
0.171082518600538,2007,0.95
0.0803563329898361,2008,0.05
0.102172151821383,2008,0.25
0.122172873971462,2008,0.5
0.145797850395005,2008,0.75
0.171082518600538,2008,0.95
0.0803563329898361,2009,0.05
0.102172151821383,2009,0.25
0.122172873971462,2009,0.5
0.145797850395005,2009,0.75
0.171082518600538,2009,0.95
0.0803563329898361,2010,0.05
0.102172151821383,2010,0.25
0.122172873971462,2010,0.5
0.145797850395005,2010,0.75
0.171082518600538,2010,0.95
0.0803563329898361,2011,0.05
0.102172151821383,2011,0.25
0.122172873971462,2011,0.5
0.145797850395005,2011,0.75
0.171082518600538,2011,0.95
0.0803563329898361,2012,0.05
0.102172151821383,2012,0.25
0.122172873971462,2012,0.5
0.145797850395005,2012,0.75
0.171082518600538,2012,0.95
0.0803563329898361,2013,0.05
0.102172151821383,2013,0.25
0.122172873971462,2013,0.5
0.145797850395005,2013,0.75
0.171082518600538,2013,0.95
0.0803563329898361,2014,0.05
0.102172151821383,2014,0.25
0.122172873971462,2014,0.5
0.145797850395005,2014,0.75
0.171082518600538,2014,0.95
0.0803563329898361,2015,0.05
0.102172151821383,2015,0.25
0.122172873971462,2015,0.5
0.145797850395005,2015,0.75
0.171082518600538,2015,0.95
0.0803563329898361,2016,0.05
0.102172151821383,2016,0.25
0.122172873971462,2016,0.5
0.145797850395005,2016,0.75
0.171082518600538,2016,0.95
0.0803563329898361,2017,0.05
0.102172151821383,2017,0.25
0.122172873971462,2017,0.5
0.145797850395005,2017,0.75
0.171082518600538,2017,0.95
0.0803563329898361,2018,0.05
0.102172151821383,2018,0.25
0.122172873971462,2018,0.5
0.145797850395005,2018,0.75
0.171082518600538,2018,0.95
0.0803563329898361,2019,0.05
0.102172151821383,2019,0.25
0.122172873971462,2019,0.5
0.145797850395005,2019,0.75
0.171082518600538,2019,0.95
0.0803563329898361,2020,0.05
0.102172151821383,2020,0.25
0.122172873971462,2020,0.5
0.145797850395005,2020,0.75
0.171082518600538,2020,0.95
0.0803563329898361,2021,0.05
0.102172151821383,2021,0.25
0.122172873971462,2021,0.5
0.145797850395005,2021,0.75
0.171082518600538,2021,0.95
0.0803563329898361,2022,0.05
0.102172151821383,2022,0.25
0.122172873971462,2022,0.5
0.145797850395005,2022,0.75
0.171082518600538,2022,0.95
0.0803563329898361,2023,0.05
0.102172151821383,2023,0.25
0.122172873971462,2023,0.5
0.145797850395005,2023,0.75
0.171082518600538,2023,0.95
