"outcome","input","quant"
21.9388036009967,0.35,0.05
33.296656266219,0.35,0.25
38.1743162489175,0.35,0.5
44.1814952028549,0.35,0.75
53.0836648937207,0.35,0.95
21.9388036009967,0.45,0.05
33.296656266219,0.45,0.25
38.1743162489175,0.45,0.5
44.1814952028549,0.45,0.75
53.0836648937207,0.45,0.95
21.9388036009967,0.55,0.05
33.296656266219,0.55,0.25
38.1743162489175,0.55,0.5
44.1814952028549,0.55,0.75
53.0836648937207,0.55,0.95
21.9388036009967,0.65,0.05
33.296656266219,0.65,0.25
38.1743162489175,0.65,0.5
44.1814952028549,0.65,0.75
53.0836648937207,0.65,0.95
