"outcome","input","quant"
0.0704398098346417,0.35,0.05
0.0837951481135241,0.35,0.25
0.0898759140332416,0.35,0.5
0.108454136973803,0.35,0.75
0.120590723886173,0.35,0.95
0.0704398098346417,0.45,0.05
0.0837951481135241,0.45,0.25
0.0898759140332416,0.45,0.5
0.108454136973803,0.45,0.75
0.120590723886173,0.45,0.95
0.0704398098346417,0.55,0.05
0.0837951481135241,0.55,0.25
0.0898759140332416,0.55,0.5
0.108454136973803,0.55,0.75
0.120590723886173,0.55,0.95
0.0704398098346417,0.65,0.05
0.0837951481135241,0.65,0.25
0.0898759140332416,0.65,0.5
0.108454136973803,0.65,0.75
0.120590723886173,0.65,0.95
