"outcome","input","quant"
0.0229828165406751,2821476.11159633,0.05
0.0388300603366722,2821476.11159633,0.25
0.0532377711681468,2821476.11159633,0.5
0.0744123052943075,2821476.11159633,0.75
0.116214999734358,2821476.11159633,0.95
0.0229828165406751,2908465.7885372,0.05
0.0388300603366722,2908465.7885372,0.25
0.0532377711681468,2908465.7885372,0.5
0.0744123052943075,2908465.7885372,0.75
0.116214999734358,2908465.7885372,0.95
0.0229828165406751,2995455.46547807,0.05
0.0388300603366722,2995455.46547807,0.25
0.0532377711681468,2995455.46547807,0.5
0.0744123052943075,2995455.46547807,0.75
0.116214999734358,2995455.46547807,0.95
0.0229828165406751,3082445.14241895,0.05
0.0388300603366722,3082445.14241895,0.25
0.0532377711681468,3082445.14241895,0.5
0.0744123052943075,3082445.14241895,0.75
0.116214999734358,3082445.14241895,0.95
0.0229828165406751,3169434.81935982,0.05
0.0388300603366722,3169434.81935982,0.25
0.0532377711681468,3169434.81935982,0.5
0.0744123052943075,3169434.81935982,0.75
0.116214999734358,3169434.81935982,0.95
0.0229828165406751,3256424.49630069,0.05
0.0388300603366722,3256424.49630069,0.25
0.0532377711681468,3256424.49630069,0.5
0.0744123052943075,3256424.49630069,0.75
0.116214999734358,3256424.49630069,0.95
0.0229828165406751,3343414.17324157,0.05
0.0388300603366722,3343414.17324157,0.25
0.0532377711681468,3343414.17324157,0.5
0.0744123052943075,3343414.17324157,0.75
0.116214999734358,3343414.17324157,0.95
0.0229828165406751,3430403.85018244,0.05
0.0388300603366722,3430403.85018244,0.25
0.0532377711681468,3430403.85018244,0.5
0.0744123052943075,3430403.85018244,0.75
0.116214999734358,3430403.85018244,0.95
0.0229828165406751,3517393.52712331,0.05
0.0388300603366722,3517393.52712331,0.25
0.0532377711681468,3517393.52712331,0.5
0.0744123052943075,3517393.52712331,0.75
0.116214999734358,3517393.52712331,0.95
0.0229828165406751,3604383.20406419,0.05
0.0388300603366722,3604383.20406419,0.25
0.0532377711681468,3604383.20406419,0.5
0.0744123052943075,3604383.20406419,0.75
0.116214999734358,3604383.20406419,0.95
