"outcome","input","quant"
14.4071902498064,2821476.11159633,0.05
17.6838769681302,2821476.11159633,0.25
20.1976875638732,2821476.11159633,0.5
28.3025781908577,2821476.11159633,0.75
41.6367187853857,2821476.11159633,0.95
14.4071902498064,2908465.7885372,0.05
17.6838769681302,2908465.7885372,0.25
20.1976875638732,2908465.7885372,0.5
28.3025781908577,2908465.7885372,0.75
41.6367187853857,2908465.7885372,0.95
14.4071902498064,2995455.46547807,0.05
17.6838769681302,2995455.46547807,0.25
20.1976875638732,2995455.46547807,0.5
28.3025781908577,2995455.46547807,0.75
41.6367187853857,2995455.46547807,0.95
14.4071902498064,3082445.14241895,0.05
17.6838769681302,3082445.14241895,0.25
20.1976875638732,3082445.14241895,0.5
28.3025781908577,3082445.14241895,0.75
41.6367187853857,3082445.14241895,0.95
14.4071902498064,3169434.81935982,0.05
17.6838769681302,3169434.81935982,0.25
20.1976875638732,3169434.81935982,0.5
28.3025781908577,3169434.81935982,0.75
41.6367187853857,3169434.81935982,0.95
14.4071902498064,3256424.49630069,0.05
17.6838769681302,3256424.49630069,0.25
20.1976875638732,3256424.49630069,0.5
28.3025781908577,3256424.49630069,0.75
41.6367187853857,3256424.49630069,0.95
14.4071902498064,3343414.17324157,0.05
17.6838769681302,3343414.17324157,0.25
20.1976875638732,3343414.17324157,0.5
28.3025781908577,3343414.17324157,0.75
41.6367187853857,3343414.17324157,0.95
14.4071902498064,3430403.85018244,0.05
17.6838769681302,3430403.85018244,0.25
20.1976875638732,3430403.85018244,0.5
28.3025781908577,3430403.85018244,0.75
41.6367187853857,3430403.85018244,0.95
14.4071902498064,3517393.52712331,0.05
17.6838769681302,3517393.52712331,0.25
20.1976875638732,3517393.52712331,0.5
28.3025781908577,3517393.52712331,0.75
41.6367187853857,3517393.52712331,0.95
14.4071902498064,3604383.20406419,0.05
17.6838769681302,3604383.20406419,0.25
20.1976875638732,3604383.20406419,0.5
28.3025781908577,3604383.20406419,0.75
41.6367187853857,3604383.20406419,0.95
