"outcome","input","quant"
35.8350914108104,1,0.05
46.4173882430063,1,0.25
51.722374504115,1,0.5
57.7883243891458,1,0.75
68.6749912768507,1,0.95
41.2180750125651,2,0.05
50.6713625190526,2,0.25
54.9829585173942,2,0.5
60.1250897194053,2,0.75
67.5222758254796,2,0.95
39.9594329964856,3,0.05
49.2598986228888,3,0.25
53.5204756654491,3,0.5
58.4882519689093,3,0.75
66.3054081913039,3,0.95
41.2333187461573,4,0.05
51.1490178393408,4,0.25
55.7149614904824,4,0.5
60.9131548942279,4,0.75
68.3543516978224,4,0.95
42.0188305998675,5,0.05
51.4636245421792,5,0.25
56.1587140241807,5,0.5
61.2303911609394,5,0.75
68.6574696527197,5,0.95
40.2472077665145,6,0.05
50.6399705707445,6,0.25
55.1915717497768,6,0.5
60.2220835738381,6,0.75
67.340123086134,6,0.95
40.917492364432,7,0.05
50.6378656019803,7,0.25
54.7939810927658,7,0.5
59.4972591002477,7,0.75
66.4075280646046,7,0.95
