"outcome","input","quant"
10.3191400808757,1,0.05
15.7441021777888,1,0.25
19.1631848683276,1,0.5
27.2285604043824,1,0.75
39.3597205940282,1,0.95
14.231713706193,2,0.05
17.5782470216293,2,0.25
20.0762288045332,2,0.5
28.2316434705795,2,0.75
41.4827674342175,2,0.95
14.2540237631372,3,0.05
17.3857766268002,3,0.25
20.0159079118184,3,0.5
28.0241022460756,3,0.75
40.8270820635864,3,0.95
14.6885135976044,4,0.05
17.8532442377301,4,0.25
20.3919505494563,4,0.5
28.3223200865738,4,0.75
42.592626298081,4,0.95
14.4632147934478,5,0.05
17.825536943306,5,0.25
20.1447963221896,5,0.5
27.9330508163321,5,0.75
42.549020566788,5,0.95
14.6711635472616,6,0.05
17.7548145461377,6,0.25
20.2665787355634,6,0.5
28.1850612336221,6,0.75
41.4230432184174,6,0.95
14.640958002654,7,0.05
17.7703761389681,7,0.25
20.2593174587135,7,0.5
28.1951771424472,7,0.75
41.5778572428204,7,0.95
