"outcome","input","quant"
0.187605012501009,0.35,0.05
1.16351644493822,0.35,0.25
2.08038016581966,0.35,0.5
3.37156051302009,0.35,0.75
5.4380190835009,0.35,0.95
0.187605012501009,0.45,0.05
1.16351644493822,0.45,0.25
2.08038016581966,0.45,0.5
3.37156051302009,0.45,0.75
5.4380190835009,0.45,0.95
0.187605012501009,0.55,0.05
1.16351644493822,0.55,0.25
2.08038016581966,0.55,0.5
3.37156051302009,0.55,0.75
5.4380190835009,0.55,0.95
0.187605012501009,0.65,0.05
1.16351644493822,0.65,0.25
2.08038016581966,0.65,0.5
3.37156051302009,0.65,0.75
5.4380190835009,0.65,0.95
