"outcome","input","quant"
57.4761372308278,0,0.05
65.5325486984794,0,0.25
69.7846165649785,0,0.5
73.6966742843574,0,0.75
78.5831525843058,0,0.95
57.4825370477401,1,0.05
65.5918306865181,1,0.25
69.8596436276767,1,0.5
73.7712210582872,1,0.75
78.661376871566,1,0.95
57.4825370477401,2,0.05
65.5918306865181,2,0.25
69.8596436276767,2,0.5
73.7712210582872,2,0.75
78.661376871566,2,0.95
57.4825370477401,3,0.05
65.5918306865181,3,0.25
69.8596436276767,3,0.5
73.7712210582872,3,0.75
78.661376871566,3,0.95
57.4825370477401,4,0.05
65.5918306865181,4,0.25
69.8596436276767,4,0.5
73.7712210582872,4,0.75
78.661376871566,4,0.95
57.5323579415374,5,0.05
65.6615326094287,5,0.25
69.9008732653181,5,0.5
73.804835431052,5,0.75
78.7150805658365,5,0.95
57.5323579415374,6,0.05
65.6615326094287,6,0.25
69.9008732653181,6,0.5
73.804835431052,6,0.75
78.7150805658365,6,0.95
57.5323579415374,7,0.05
65.6615326094287,7,0.25
69.9008732653181,7,0.5
73.804835431052,7,0.75
78.7150805658365,7,0.95
