"outcome","input","quant"
42.0768610552482,1,0.05
53.2670017644446,1,0.25
58.7692481027794,1,0.5
63.930594753386,1,0.75
69.7501831215162,1,0.95
37.4830505897832,2,0.05
48.1465174673391,2,0.25
52.2227986960123,2,0.5
55.534429508477,2,0.75
59.3655177405322,2,0.95
37.8097129668777,3,0.05
47.242666717126,3,0.25
51.2040607871103,3,0.5
54.4427948945774,3,0.75
58.4984654609504,3,0.95
42.9303016654044,4,0.05
53.9734929795219,4,0.25
58.8790148936517,4,0.5
63.6783524142652,4,0.75
68.7921365276736,4,0.95
40.2447811610316,5,0.05
49.810909339982,5,0.25
53.6321714303258,5,0.5
56.7462474387095,5,0.75
60.5027402549888,5,0.95
38.3876046322792,6,0.05
47.4194664230466,6,0.25
51.6938949894613,6,0.5
54.9882530549472,6,0.75
59.2349045180542,6,0.95
42.5382670677343,7,0.05
52.499829098167,7,0.25
57.4458763849381,7,0.5
62.1941252549377,7,0.75
67.1522324531599,7,0.95
41.3846348087963,8,0.05
51.1258405106535,8,0.25
54.777601843528,8,0.5
57.5036245360984,8,0.75
61.0354828466247,8,0.95
40.1467523325249,9,0.05
48.6933972044047,9,0.25
52.4848976088347,9,0.5
55.577235862912,9,0.75
59.7799977161402,9,0.95
43.7133799741542,10,0.05
53.8534366923766,10,0.25
58.3971684324467,10,0.5
63.2778688606468,10,0.75
68.3306444634071,10,0.95
40.6950969685369,11,0.05
49.7168790251888,11,0.25
53.4501331463175,11,0.5
56.5051276377563,11,0.75
60.3898674699135,11,0.95
37.804941231297,12,0.05
47.3734565780879,12,0.25
51.2702783311857,12,0.5
54.4275033277705,12,0.75
58.7158418998162,12,0.95
