"outcome","input","quant"
40.0101899104614,2821476.11159633,0.05
49.7769839360949,2821476.11159633,0.25
54.294510411602,2821476.11159633,0.5
59.3869852891745,2821476.11159633,0.75
66.5668900011982,2821476.11159633,0.95
40.3324277066301,2908465.7885372,0.05
49.8666508445134,2908465.7885372,0.25
54.3187979398192,2908465.7885372,0.5
59.4617517277572,2908465.7885372,0.75
66.5717757750255,2908465.7885372,0.95
40.370419733506,2995455.46547807,0.05
50.4634763270896,2995455.46547807,0.25
54.863381913881,2995455.46547807,0.5
60.0562480040437,2995455.46547807,0.75
67.4102121903067,2995455.46547807,0.95
40.5500008443759,3082445.14241895,0.05
50.2981552598163,3082445.14241895,0.25
54.7095142372614,3082445.14241895,0.5
59.8398049555058,3082445.14241895,0.75
67.2446761093101,3082445.14241895,0.95
40.4337091843026,3169434.81935982,0.05
50.3708518759692,3169434.81935982,0.25
54.9087953815601,3169434.81935982,0.5
60.1281615462633,3169434.81935982,0.75
67.6768805945287,3169434.81935982,0.95
40.8718913248645,3256424.49630069,0.05
50.7209518998859,3256424.49630069,0.25
55.16008129543,3256424.49630069,0.5
60.2671238392884,3256424.49630069,0.75
67.9955499497603,3256424.49630069,0.95
41.1010242665964,3343414.17324157,0.05
50.9119382632621,3343414.17324157,0.25
55.3072428138192,3343414.17324157,0.5
60.391764499998,3343414.17324157,0.75
68.0023944548595,3343414.17324157,0.95
40.9534990566877,3430403.85018244,0.05
50.8023863488464,3430403.85018244,0.25
55.1924614159616,3430403.85018244,0.5
60.2907393913347,3430403.85018244,0.75
67.8572191021807,3430403.85018244,0.95
41.0059565179075,3517393.52712331,0.05
50.9121288688739,3517393.52712331,0.25
55.347614386421,3517393.52712331,0.5
60.4417369865601,3517393.52712331,0.75
68.012336889193,3517393.52712331,0.95
41.0059565179075,3604383.20406419,0.05
50.9121288688739,3604383.20406419,0.25
55.347614386421,3604383.20406419,0.5
60.4417369865601,3604383.20406419,0.75
68.012336889193,3604383.20406419,0.95
