"outcome","input","quant"
41.8304876533045,1,0.05
51.542364997286,1,0.25
56.4344744187567,1,0.5
63.8721879225364,1,0.75
69.4570281128661,1,0.95
41.0810024208993,2,0.05
51.1185562551924,2,0.25
55.443066959246,2,0.5
60.1061067194738,2,0.75
66.2444602262311,2,0.95
40.0566020779196,3,0.05
50.1386971875326,3,0.25
54.3310394045908,3,0.5
58.5766565137908,3,0.75
63.486511787069,3,0.95
39.63588831426,4,0.05
49.2283683659226,4,0.25
53.3780774255625,4,0.5
57.294168666688,4,0.75
61.8328986762039,4,0.95
38.9147359430414,5,0.05
48.5433268970209,5,0.25
52.7588163545164,5,0.5
56.766469366099,5,0.75
61.2295594878128,5,0.95
