"outcome","input","quant"
2.35097381783918,1,0.05
4.60635741622413,1,0.25
6.76962478222443,1,0.5
9.24398012331325,1,0.75
12.2610457008099,1,0.95
2.34636384078402,2,0.05
4.50726861720978,2,0.25
6.36393481548665,2,0.5
8.45824657852516,2,0.75
11.1775993537403,2,0.95
2.22118931236453,3,0.05
4.31043524616671,3,0.25
6.05001304164994,3,0.5
7.71140484468657,3,0.75
10.4728790015311,3,0.95
1.92463327675558,4,0.05
3.97766136273972,4,0.25
5.66444778639908,4,0.5
7.25437142086317,4,0.75
10.0457454794019,4,0.95
1.78452582868056,5,0.05
3.74768969789718,5,0.25
5.3882276633772,5,0.5
6.93958128995872,5,0.75
9.57059874226583,5,0.95
