"outcome","input","quant"
7.02289942986818e-08,-0.458113888888883,0.05
5.06537521683073e-07,-0.458113888888883,0.25
2.27392345257196e-06,-0.458113888888883,0.5
1.17001254269477e-05,-0.458113888888883,0.75
0.000141628261435256,-0.458113888888883,0.95
7.01654744389565e-08,1.85311338734568,0.05
5.06194850600587e-07,1.85311338734568,0.25
2.27401748594478e-06,1.85311338734568,0.5
1.16987547443841e-05,1.85311338734568,0.75
0.000141550395085374,1.85311338734568,0.95
4.41766903931853e-08,4.16434066358025,0.05
3.34255081464556e-07,4.16434066358025,0.25
1.61696323973288e-06,4.16434066358025,0.5
9.49140456825743e-06,4.16434066358025,0.75
0.000134599021826624,4.16434066358025,0.95
2.83194833388576e-08,6.47556793981482,0.05
2.1772549118467e-07,6.47556793981482,0.25
1.05371424811846e-06,6.47556793981482,0.5
6.13028456347522e-06,6.47556793981482,0.75
9.93971740513872e-05,6.47556793981482,0.95
4.85214770053266e-08,8.78679521604939,0.05
3.86288765121172e-07,8.78679521604939,0.25
1.89631096140088e-06,8.78679521604939,0.5
1.08081436191579e-05,8.78679521604939,0.75
0.000169027114333272,8.78679521604939,0.95
4.21218356434203e-08,11.098022492284,0.05
3.43137360244219e-07,11.098022492284,0.25
1.78524559896381e-06,11.098022492284,0.5
1.12814153747626e-05,11.098022492284,0.75
0.00019044061402891,11.098022492284,0.95
7.09167219928192e-08,13.4092497685185,0.05
5.22142749711657e-07,13.4092497685185,0.25
2.44447279989328e-06,13.4092497685185,0.5
1.29531487863343e-05,13.4092497685185,0.75
0.000161069280182986,13.4092497685185,0.95
6.66326315793732e-09,15.7204770447531,0.05
6.24266005542312e-08,15.7204770447531,0.25
3.54357941717961e-07,15.7204770447531,0.5
2.87505888277048e-06,15.7204770447531,0.75
0.000220526837503359,15.7204770447531,0.95
9.33834255864174e-09,18.0317043209877,0.05
1.17688004534707e-07,18.0317043209877,0.25
9.52508059241185e-07,18.0317043209877,0.5
1.22965962742166e-05,18.0317043209877,0.75
0.000553054790983262,18.0317043209877,0.95
2.09168358492217e-08,20.3429315972222,0.05
2.46086268210668e-07,20.3429315972222,0.25
1.86780862799219e-06,20.3429315972222,0.5
2.18588720419674e-05,20.3429315972222,0.75
0.000985563178437535,20.3429315972222,0.95
