"outcome","input","quant"
0.00654852123378571,1,0.05
0.015182907037512,1,0.25
0.0301477710556774,1,0.5
0.0543830998432138,1,0.75
0.121468517549341,1,0.95
0.00649082600093979,2,0.05
0.0150507046928909,2,0.25
0.0293708158247493,2,0.5
0.053399938650078,2,0.75
0.119658562255412,2,0.95
0.00636519227300232,3,0.05
0.0148953438596009,3,0.25
0.0289340960646988,3,0.5
0.0531165996312006,3,0.75
0.119317053641474,3,0.95
0.00624048203441356,4,0.05
0.0146126764275692,4,0.25
0.0282677174619808,4,0.5
0.0514515152261174,4,0.75
0.114995907970208,4,0.95
0.00606659810949042,5,0.05
0.0141682245705487,5,0.25
0.0273329495433793,5,0.5
0.0504679068995679,5,0.75
0.113253783617207,5,0.95
0.00605407153535172,6,0.05
0.0141062515748968,6,0.25
0.0274362060979065,6,0.5
0.0506586409752383,6,0.75
0.11306349199841,6,0.95
0.00584684996069637,7,0.05
0.013551607194726,7,0.25
0.0254253952318124,7,0.5
0.0473326555072078,7,0.75
0.110382017244703,7,0.95
0.00607327485053819,8,0.05
0.014187323631386,8,0.25
0.0272010818695879,8,0.5
0.0503641141535428,8,0.75
0.115958450860428,8,0.95
0.00608168909497312,9,0.05
0.0142376596643569,9,0.25
0.0273494892816417,9,0.5
0.0506423720140092,9,0.75
0.116374214925214,9,0.95
0.0056137859327694,10,0.05
0.0131767346307266,10,0.25
0.0256284044139592,10,0.5
0.0485955577819372,10,0.75
0.115048637143831,10,0.95
0.00561966347910962,11,0.05
0.013212479949182,11,0.25
0.0257614133129341,11,0.5
0.048848360647295,11,0.75
0.115488392891001,11,0.95
0.0056789106364112,12,0.05
0.0133308236326455,12,0.25
0.0260365566894031,12,0.5
0.049384188327149,12,0.75
0.116713328873951,12,0.95
0.00551234314153144,13,0.05
0.0129266766434897,13,0.25
0.0255280070261468,13,0.5
0.0483690426639579,13,0.75
0.114107308990445,13,0.95
0.00504662655191133,14,0.05
0.01184754620176,14,0.25
0.022485834073406,14,0.5
0.0440695374076672,14,0.75
0.111643928802697,14,0.95
0.00507336427940242,15,0.05
0.0119101060228678,15,0.25
0.0225148794881495,15,0.5
0.0442424374960917,15,0.75
0.112055995941262,15,0.95
0.00508366379341812,16,0.05
0.0119757210059647,16,0.25
0.0226993081385822,16,0.5
0.0445906529232866,16,0.75
0.11293081618931,16,0.95
0.00508695134525888,17,0.05
0.0119749590303809,17,0.25
0.0226977483625362,17,0.5
0.0445904505346722,17,0.75
0.11291710017575,17,0.95
0.00482798302992862,18,0.05
0.011402728925478,18,0.25
0.0218028005175819,18,0.5
0.0436426552863137,18,0.75
0.112488561375827,18,0.95
0.00480216894388736,19,0.05
0.0113455889482656,19,0.25
0.021857713843879,19,0.5
0.0439333694521727,19,0.75
0.113032476941135,19,0.95
0.00477686103335838,20,0.05
0.0113067884624984,20,0.25
0.0218668351825031,20,0.5
0.043868270362721,20,0.75
0.112794380495432,20,0.95
0.0047283396107184,21,0.05
0.0111162070106525,21,0.25
0.0213645777864526,21,0.5
0.0430699151056926,21,0.75
0.110517050656879,21,0.95
0.00474409064256486,22,0.05
0.0111355791362591,22,0.25
0.0214059377090364,22,0.5
0.0431859730917542,22,0.75
0.110698518396826,22,0.95
0.00478329800017039,23,0.05
0.0112445049555565,23,0.25
0.0216386469564754,23,0.5
0.0436139038885107,23,0.75
0.111802681095699,23,0.95
0.00483881533021386,24,0.05
0.0113089078582889,24,0.25
0.0216952379989628,24,0.5
0.043807324122599,24,0.75
0.112313245540601,24,0.95
0.00449049877389903,25,0.05
0.0105013056949039,25,0.25
0.0204306060674001,25,0.5
0.0430700992434843,25,0.75
0.112276121477295,25,0.95
0.00446992323668791,26,0.05
0.0104411421836943,26,0.25
