"outcome","input","quant"
0.0082794586074324,1,0.05
0.031180488661887,1,0.25
0.0926556227201755,1,0.5
0.202443369709455,1,0.75
0.383328293588673,1,0.95
0.0111097797369301,2,0.05
0.040206791661403,2,0.25
0.115269264098598,2,0.5
0.242052248003422,2,0.75
0.440341751979197,2,0.95
0.0113613961268175,3,0.05
0.0407449849406337,3,0.25
0.115860430807183,3,0.5
0.244585712452929,3,0.75
0.448082595014604,3,0.95
0.0134916696071128,4,0.05
0.0455205110666448,4,0.25
0.119046594636636,4,0.5
0.245818411666219,4,0.75
0.449344851776017,4,0.95
0.01347091609413,5,0.05
0.045426095468305,5,0.25
0.118739808543377,5,0.5
0.245502382283087,5,0.75
0.450494483995726,5,0.95
0.011916910332063,6,0.05
0.0401898768662385,6,0.25
0.107296208462916,6,0.5
0.22302842481132,6,0.75
0.42201033188071,6,0.95
0.0115268418058911,7,0.05
0.0376676175686298,7,0.25
0.0994030539699323,7,0.5
0.208006525149002,7,0.75
0.407090386460134,7,0.95
0.00856334881393417,8,0.05
0.0265637823027698,8,0.25
0.073289747270468,8,0.5
0.150444008288621,8,0.75
0.306781200878131,8,0.95
0.00830897240516082,9,0.05
0.0254592521537814,9,0.25
0.0698442373310028,9,0.5
0.143394461413302,9,0.75
0.293727375171077,9,0.95
0.00853467834304258,10,0.05
0.0242933795753329,10,0.25
0.0657042960650335,10,0.5
0.134038919435244,10,0.75
0.27653135705407,10,0.95
0.00733907277823492,11,0.05
0.0213079441614755,11,0.25
0.0612509045266283,11,0.5
0.127439210250251,11,0.75
0.268247717022619,11,0.95
0.00673469957515998,12,0.05
0.019506581852685,12,0.25
0.0565347111638877,12,0.5
0.119487645906409,12,0.75
0.257897861928213,12,0.95
0.00645352836185211,13,0.05
0.0186788944295857,13,0.25
0.0544725268921701,13,0.5
0.115764129438178,13,0.75
0.251675463984392,13,0.95
0.00667190903358118,14,0.05
0.0185334432798092,14,0.25
0.0536976360254341,14,0.5
0.114977668525976,14,0.75
0.251414624863864,14,0.95
0.00680924938118733,15,0.05
0.019005949167902,15,0.25
0.0551958057179922,15,0.5
0.1177734399797,15,0.75
0.257072183044686,15,0.95
0.0068293853319765,16,0.05
0.0191220307546,16,0.25
0.0556304365548833,16,0.5
0.118699741876826,16,0.75
0.258655836512821,16,0.95
0.00682730949721606,17,0.05
0.019115209874897,17,0.25
0.0556311712066657,17,0.5
0.118726787253406,17,0.75
0.258673967624149,17,0.95
0.00682861408045962,18,0.05
0.0191517823489714,18,0.25
0.0557870159519302,18,0.5
0.119095832809397,18,0.75
0.259491696502564,18,0.95
0.00631603738907885,19,0.05
0.0183492750480428,19,0.25
0.0551047557544461,19,0.5
0.119323851301202,19,0.75
0.260732687617349,19,0.95
0.00624693297661611,20,0.05
0.0182591865446148,20,0.25
0.0550853063411131,20,0.5
0.119465109748834,20,0.75
0.261184800983408,20,0.95
0.00625077974845218,21,0.05
0.0182845561032597,21,0.25
0.0551794422355681,21,0.5
0.119681568854784,21,0.75
0.261615619687835,21,0.95
0.00625995201729395,22,0.05
0.0182990630427966,22,0.25
0.0552826865915693,22,0.5
0.120066810257076,22,0.75
0.262573289275436,22,0.95
0.00633064068850779,23,0.05
0.018496730714786,23,0.25
0.0558062276758922,23,0.5
0.121199234133218,23,0.75
0.264916339533823,23,0.95
0.0064215419539611,24,0.05
0.0186348617586642,24,0.25
0.0559947462240894,24,0.5
0.121377493611863,24,0.75
0.265012223517327,24,0.95
