"outcome","input","quant"
0.00248312235395101,1,0.05
0.00795765829112849,1,0.25
0.033043810553234,1,0.5
0.1201164797151,1,0.75
0.284979135858031,1,0.95
0.00221867473954572,2,0.05
0.00723037583998416,2,0.25
0.0304717406636285,2,0.5
0.113027717822764,2,0.75
0.273091982842856,2,0.95
0.00211156213866864,3,0.05
0.00662460871357072,3,0.25
0.0275470972708302,3,0.5
0.096038559740238,3,0.75
0.22952360431119,3,0.95
0.00211341385788626,4,0.05
0.00661944884388693,4,0.25
0.0274640600060976,4,0.5
0.0957113493970081,4,0.75
0.228596788465495,4,0.95
0.00212903983934144,5,0.05
0.00667588092472302,5,0.25
0.0277231750181006,5,0.5
0.0969509919393442,5,0.75
0.231546176804136,5,0.95
0.00216010050166057,6,0.05
0.00671368114176586,6,0.25
0.0276809172165771,6,0.5
0.0962990925797635,6,0.75
0.229854326971794,6,0.95
0.0021750808500035,7,0.05
0.00661951404829361,7,0.25
0.0273326190253142,7,0.5
0.0942630358027436,7,0.75
0.224445344679977,7,0.95
0.0023540431583668,8,0.05
0.00702650124468032,8,0.25
0.0284383132613934,8,0.5
0.0952370774482274,8,0.75
0.222215221161775,8,0.95
0.00236869258505906,9,0.05
0.00704012768901341,9,0.25
0.0284931733761723,9,0.5
0.0950384124673801,9,0.75
0.221643003201597,9,0.95
0.0024029018854263,10,0.05
0.00710187559011584,10,0.25
0.0286531669909077,10,0.5
0.095103361569752,10,0.75
0.221363135811934,10,0.95
0.00241405804226496,11,0.05
0.0071436987950607,11,0.25
0.0287565875454476,11,0.5
0.0953075293173239,11,0.75
0.221763428051732,11,0.95
0.00244113948704193,12,0.05
0.00721842789865805,12,0.25
0.0291010718319661,12,0.5
0.0961930969519599,12,0.75
0.223499233779655,12,0.95
0.00243959865595519,13,0.05
0.00717631511799483,13,0.25
0.0288893520889291,13,0.5
0.0950394129128947,13,0.75
0.220069967282578,13,0.95
0.00233589279445368,14,0.05
0.00684367748558903,14,0.25
0.0283525603927088,14,0.5
0.0947137797625764,14,0.75
0.21996403565497,14,0.95
0.0023292694084035,15,0.05
0.00685119303342627,15,0.25
0.0285295923542763,15,0.5
0.0953797575554373,15,0.75
0.220933341805484,15,0.95
0.00234684936639016,16,0.05
0.0069055156129586,16,0.25
0.0287407133380498,16,0.5
0.0959211078511549,16,0.75
0.221729549610634,16,0.95
0.00235802273493648,17,0.05
0.00700131481089086,17,0.25
0.0290629630850768,17,0.5
0.0969235934706818,17,0.75
0.223338095841055,17,0.95
0.00239063117441501,18,0.05
0.00709963247849918,18,0.25
0.0293944533968249,18,0.5
0.0979537461896219,18,0.75
0.225722421323888,18,0.95
