"outcome","input","quant"
0.00349602310767169,1,0.05
0.00721418089161298,1,0.25
0.0133072806781792,1,0.5
0.0269182420743053,1,0.75
0.0637140634208088,1,0.95
0.00340904596788282,2,0.05
0.00710271155189405,2,0.25
0.0131100768537326,2,0.5
0.0263719023819586,2,0.75
0.0640238403218365,2,0.95
0.00346700445943087,3,0.05
0.00719997907030458,3,0.25
0.0132550559730255,3,0.5
0.0265821992795351,3,0.75
0.0656451709095757,3,0.95
0.00343209020009161,4,0.05
0.00710878734362497,4,0.25
0.012975578609591,4,0.5
0.0257828680568452,4,0.75
0.064101434670938,4,0.95
0.00345831038284693,5,0.05
0.0071840962092487,5,0.25
0.0131058158681242,5,0.5
0.0260392255922719,5,0.75
0.0649286881352496,5,0.95
0.00331650262318742,6,0.05
0.00686197332757351,6,0.25
0.0125408279628187,6,0.5
0.0248256286149899,6,0.75
0.0629884316962722,6,0.95
0.00330031721827346,7,0.05
0.0067878469832669,7,0.25
0.0123961863585199,7,0.5
0.0245595528283967,7,0.75
0.062150218602321,7,0.95
0.0034243818106392,8,0.05
0.00693766761776716,8,0.25
0.0126897725188265,8,0.5
0.0251841729757644,8,0.75
0.0631438460261396,8,0.95
0.00344600485250618,9,0.05
0.00696831564412159,9,0.25
0.0127421202188148,9,0.5
0.0253166500236242,9,0.75
0.0632618429395152,9,0.95
0.00347762831342975,10,0.05
0.00700680806738308,10,0.25
0.0127886004897925,10,0.5
0.025488451859061,10,0.75
0.0632170164789307,10,0.95
0.00349127684916601,11,0.05
0.00703665337576818,11,0.25
0.0128303276876574,11,0.5
0.0256159979778154,11,0.75
0.0633145249107584,11,0.95
0.00329977588872723,12,0.05
0.00663653085766018,12,0.25
0.0121103131883146,12,0.5
0.0241970346421698,12,0.75
0.059750119893167,12,0.95
0.00302603428268129,13,0.05
0.00619998971923622,13,0.25
0.0114450520149823,13,0.5
0.022670592650603,13,0.75
0.0589563110946809,13,0.95
0.00302846840082618,14,0.05
0.00620803977852807,14,0.25
0.0114528909403267,14,0.5
0.0227206583051264,14,0.75
