"outcome","input","quant"
0.00126537239880134,1,0.05
0.00390837083471451,1,0.25
0.0274377936650204,1,0.5
0.118436620943948,1,0.75
0.285145969746111,1,0.95
0.00113603159093372,2,0.05
0.00355055435792867,2,0.25
0.0256560301652053,2,0.5
0.108462858532692,2,0.75
0.261380690420982,2,0.95
0.00113741759816124,3,0.05
0.00357529244096155,3,0.25
0.0258540779210543,3,0.5
0.110447347703035,3,0.75
0.270403181397208,3,0.95
0.00113858078241621,4,0.05
0.00357754108233156,4,0.25
0.025782803261598,4,0.5
0.109944004394139,4,0.75
0.26875321419863,4,0.95
0.00110638418611879,5,0.05
0.0034303994440956,5,0.25
0.0258556317386248,5,0.5
0.105261226464186,5,0.75
0.252071609989945,5,0.95
0.00119242113368595,6,0.05
0.00364254442125569,6,0.25
0.0267473125762193,6,0.5
0.107307667529014,6,0.75
0.254902994802146,6,0.95
0.00123730629222579,7,0.05
0.00375974627383222,7,0.25
0.027410444499151,7,0.5
0.109677681019501,7,0.75
0.257892696178419,7,0.95
0.00138857177429506,8,0.05
0.00416476263587338,8,0.25
0.0289850296583425,8,0.5
0.111600643819381,8,0.75
0.25727917257471,8,0.95
0.0014003470275971,9,0.05
0.00419422479067548,9,0.25
0.0290967206707421,9,0.5
0.111822604677539,9,0.75
0.25745115654516,9,0.95
0.00144870555002605,10,0.05
0.0043251521777117,10,0.25
0.0297554501824243,10,0.5
0.11364839243047,10,0.75
0.260961248058017,10,0.95
0.0014594348481669,11,0.05
0.00436468610491229,11,0.25
0.0300228066262893,11,0.5
0.114708939006515,11,0.75
0.262502246353122,11,0.95
0.00147340723204247,12,0.05
0.00442263110291856,12,0.25
0.0303435131767512,12,0.5
0.115697739892436,12,0.75
0.264442125697873,12,0.95
0.00170303422091276,13,0.05
0.00506695566536953,13,0.25
0.034085202289704,13,0.5
0.126481008988274,13,0.75
0.283451397038998,13,0.95
0.00170340941136871,14,0.05
0.005081011410804,14,0.25
0.0341187854096423,14,0.5
0.126430872133209,14,0.75
0.283198735110058,14,0.95
0.00170069505035872,15,0.05
0.00507790390156837,15,0.25
0.034356408572831,15,0.5
0.127438597222821,15,0.75
0.284449547922366,15,0.95
0.0017155871875845,16,0.05
0.00512626206325232,16,0.25
0.0346096743642842,16,0.5
0.12803408349285,16,0.75
0.285314843500518,16,0.95
0.00171600010113334,17,0.05
0.00512851874202599,17,0.25
0.0346097737306872,17,0.5
0.127975687492208,17,0.75
0.28506771884989,17,0.95
0.00172213581183257,18,0.05
0.00514852731908627,18,0.25
0.0346912006366167,18,0.5
0.128132880333076,18,0.75
0.285115253190004,18,0.95
0.00173006616217479,19,0.05
0.00518348754350125,19,0.25
0.0348921171047979,19,0.5
0.128652025906595,19,0.75
0.286359908785274,19,0.95
0.00177629177051783,20,0.05
0.00532707472528598,20,0.25
0.0364384361069636,20,0.5
0.134164855435142,20,0.75
0.293038548178629,20,0.95
0.00177827124038211,21,0.05
0.00533799745297089,21,0.25
0.0364994018949908,21,0.5
0.134323116661937,21,0.75
