"outcome","input","quant"
0.0207235094077677,1,0.05
0.0513971334990555,1,0.25
0.0906932349780812,1,0.5
0.148436495980035,1,0.75
0.260780698910308,1,0.95
0.0203179789502476,2,0.05
0.0505384065670286,2,0.25
0.0902417290747157,2,0.5
0.148582510110113,2,0.75
0.260714894774886,2,0.95
0.0208212864601305,3,0.05
0.0522658110707175,3,0.25
0.0938620388782653,3,0.5
0.154644271809795,3,0.75
0.270248005768652,3,0.95
0.0209678508308924,4,0.05
0.0525980906551719,4,0.25
0.0945176486769329,4,0.5
0.155683972902188,4,0.75
0.272106251255145,4,0.95
0.0212284106665655,5,0.05
0.0531798481997443,5,0.25
0.0955065894035068,5,0.5
0.157286273044717,5,0.75
0.274050092118369,5,0.95
0.0223603825275368,6,0.05
0.0564408548362514,6,0.25
0.100989202064283,6,0.5
0.16481054311406,6,0.75
0.285987731405001,6,0.95
0.022389566730817,7,0.05
0.0564779749307346,7,0.25
0.102607774511455,7,0.5
0.169619805709822,7,0.75
0.293763898405793,7,0.95
0.0238001450408303,8,0.05
0.0599399304499692,8,0.25
0.10767973723597,8,0.5
0.175290434022976,8,0.75
0.30185179720797,8,0.95
0.0239257253466202,9,0.05
0.0602776829323501,9,0.25
0.108224375201722,9,0.5
0.175869115228487,9,0.75
0.302493830061008,9,0.95
0.0240691845185523,10,0.05
0.0605793686271878,10,0.25
0.10874539056198,10,0.5
0.176621286808126,10,0.75
0.304105796366116,10,0.95
0.0241696729175759,11,0.05
0.0608681086751125,11,0.25
0.109195157642408,11,0.5
0.177102282732745,11,0.75
0.304863149527653,11,0.95
0.0226602337574209,12,0.05
0.0581215832551631,12,0.25
0.107076886559925,12,0.5
0.177136915808821,12,0.75
0.30682225092422,12,0.95
0.0224446419679689,13,0.05
0.0576074283338247,13,0.25
0.106061841735442,13,0.5
0.175647233419846,13,0.75
0.304588823011508,13,0.95
0.0224527254298109,14,0.05
0.0576449935363513,14,0.25
0.106249168515494,14,0.5
0.175851767209857,14,0.75
0.304882357415479,14,0.95
0.0225451905368156,15,0.05
0.0578248723121702,15,0.25
0.106646443892903,15,0.5
0.17696695867398,15,0.75
0.305678130127239,15,0.95
0.0226271409937693,16,0.05
0.0582817912424435,16,0.25
0.107426937504921,16,0.5
0.178048349151627,16,0.75
0.307717674392589,16,0.95
0.0226204679990862,17,0.05
0.0582854480443133,17,0.25
0.107438022526677,17,0.5
0.178024540667484,17,0.75
0.307672851450731,17,0.95
0.0226177934728019,18,0.05
0.0584227464031149,18,0.25
0.107712549050958,18,0.5
0.178427678511502,18,0.75
0.308728870373353,18,0.95
0.020493389644609,19,0.05
0.0533465438355332,19,0.25
0.101741770569078,19,0.5
0.175808670755119,19,0.75
0.308913786381559,19,0.95
0.0204795841933187,20,0.05
0.0534093946538633,20,0.25
0.101615984026532,20,0.5
0.174818352227647,20,0.75
0.30755190603395,20,0.95
0.0204484471621146,21,0.05
0.0534094272865735,21,0.25
0.101639367118759,21,0.5
0.174842680355061,21,0.75
0.307843115909296,21,0.95
0.0206779611876165,22,0.05
0.0539830700429363,22,0.25
0.102716495198079,22,0.5
0.176655662367815,22,0.75
0.310823196502403,22,0.95
0.0208632682818061,23,0.05
0.054504630443908,23,0.25
0.103785985906463,23,0.5
0.178515527105017,23,0.75
0.313663340304248,23,0.95
0.0210394143764832,24,0.05
0.054720026263943,24,0.25
0.104366966806956,24,0.5
0.179517146543925,24,0.75
0.314361170872277,24,0.95
0.0210527390497316,25,0.05
0.0547667245255374,25,0.25
0.104462243527323,25,0.5
0.179639496309004,25,0.75
0.314714339182817,25,0.95
0.0207154401830853,26,0.05
0.053325825684364,26,0.25
0.102036178189096,26,0.5
0.175897033934183,26,0.75
0.306430752634716,26,0.95
0.0200868733438108,27,0.05
0.0514310946707297,27,0.25
0.0992497702995792,27,0.5
0.174400992135135,27,0.75
0.304965995100088,27,0.95
0.0188507691215073,28,0.05
0.0495655522497881,28,0.25
0.0974989918449262,28,0.5
0.173902429424634,28,0.75
0.305062546281088,28,0.95
0.018883636061268,29,0.05
0.0494369388180067,29,0.25
0.0974823624964846,29,0.5
0.174320700832632,29,0.75
0.305043976934584,29,0.95
0.0190007008261343,30,0.05
0.0497662325453714,30,0.25
0.098233672608238,30,0.5
0.175498735553473,30,0.75
0.306856987720134,30,0.95
0.0189978038457752,31,0.05
