"outcome","input","quant"
0.00595208460363078,0,0.05
0.014506513105304,0,0.25
0.0304386063203012,0,0.5
0.0675917827302146,0,0.75
0.152492300401651,0,0.95
0.00595207420391052,1,0.05
0.0145066148580292,1,0.25
0.0304383036000017,1,0.5
0.0675906847007416,1,0.75
0.152481151693433,1,0.95
0.00586824154638525,2,0.05
0.0142555372831422,2,0.25
0.0299353265028016,2,0.5
0.0667584636114106,2,0.75
0.150540988019844,2,0.95
0.00586827448763467,3,0.05
0.0142558498467431,3,0.25
0.0299363075378014,3,0.5
0.0667593538418358,3,0.75
0.150539218250735,3,0.95
0.00586825837310641,4,0.05
0.0142554837824805,4,0.25
0.0299338283310642,4,0.5
0.0667451468023807,4,0.75
0.150502462061782,4,0.95
0.00586825837310641,5,0.05
0.0142554687317487,5,0.25
0.0299336978367708,5,0.5
0.0667432509648517,5,0.75
0.150494899976069,5,0.95
0.00586814985463713,6,0.05
0.0142552109494473,6,0.25
0.0299316753890924,6,0.5
0.0667348881205102,6,0.75
0.150475021655043,6,0.95
0.0058680740869514,7,0.05
0.0142548776203961,7,0.25
0.029929743440857,7,0.5
0.0667307619470171,7,0.75
0.150462883997006,7,0.95
