"outcome","input","quant"
1.49456404013508e-07,0,0.05
9.32377267314588e-07,0,0.25
3.67954002188982e-06,0,0.5
1.82279398441568e-05,0,0.75
0.00031331639662267,0,0.95
1.3144732991171e-07,1,0.05
8.14833334437729e-07,1,0.25
3.20110390117805e-06,1,0.5
1.57650132686348e-05,1,0.75
0.000270975885066064,1,0.95
1.31560572334297e-07,2,0.05
8.154236040443e-07,2,0.25
3.20302297945735e-06,2,0.5
1.57732389095063e-05,2,0.75
0.000271103728466242,2,0.95
1.31560612613858e-07,3,0.05
8.15428314397576e-07,3,0.25
3.20307611135476e-06,3,0.5
1.57735259738823e-05,3,0.75
0.000271108162128207,3,0.95
1.31558725652285e-07,4,0.05
8.15414005017885e-07,4,0.25
3.20291758597661e-06,4,0.5
1.57713092298762e-05,4,0.75
0.000271028238176353,4,0.95
1.31558725543154e-07,5,0.05
8.15413429521086e-07,5,0.25
3.20290284355767e-06,5,0.5
1.57711764507372e-05,5,0.75
0.000271014266348313,5,0.95
1.3155715812013e-07,6,0.05
8.15399178651213e-07,6,0.25
3.20282767830529e-06,6,0.5
1.57697271254656e-05,6,0.75
0.000270974372585898,6,0.95
1.31556712709207e-07,7,0.05
8.15385950654525e-07,7,0.25
3.20270822391231e-06,7,0.5
1.57686976756279e-05,7,0.75
0.000270974372585898,7,0.95
