"outcome","input","quant"
0.00438603193371432,0,0.05
0.0130462270182828,0,0.25
0.0293732453551359,0,0.5
0.0710332414629705,0,0.75
0.194567534384835,0,0.95
0.0043860364987251,1,0.05
0.0130461279092234,1,0.25
0.0293726280341134,1,0.5
0.0710286989305638,1,0.75
0.194565021910134,1,0.95
0.0043875599716014,2,0.05
0.0130547384863623,2,0.25
0.0293902062762875,2,0.5
0.0710764435889353,2,0.75
0.194733265025343,2,0.95
0.00438757286115833,3,0.05
0.013054929433085,3,0.25
0.0293914275771679,3,0.5
0.0710774017314558,3,0.75
0.194730857318509,3,0.95
0.00438752636231159,4,0.05
0.0130543968624072,4,0.25
0.0293877721329467,4,0.5
0.0710615406624647,4,0.75
0.194693301319602,4,0.95
0.00438752636231159,5,0.05
0.0130543702263601,5,0.25
0.0293874555869259,5,0.5
0.0710582376656927,5,0.75
0.19468950612682,5,0.95
0.00438741762521049,6,0.05
0.0130538993724054,6,0.25
0.0293846086976252,6,0.5
0.0710515540115289,6,0.75
0.194671047138445,6,0.95
0.00438736586801624,7,0.05
0.013053471345574,7,0.25
0.0293827673433638,7,0.5
0.0710470259742163,7,0.75
0.194661807050938,7,0.95
