"outcome","input","quant"
0.023300499416744,0,0.05
0.062504694924801,0,0.25
0.118764094651897,0,0.5
0.186013504436755,0,0.75
0.303220964365684,0,0.95
0.0233005032007818,1,0.05
0.0625052504137268,1,0.25
0.118761608196944,1,0.5
0.186009294631198,1,0.75
0.303216646072939,1,0.95
0.0233110343440258,2,0.05
0.0625416359398584,2,0.25
0.118834512977441,2,0.5
0.186138344092987,2,0.75
0.30338713861623,2,0.95
0.0233109944594478,3,0.05
0.0625433188162119,3,0.25
0.118837108160572,3,0.5
0.186138973511272,3,0.75
0.303388648816874,3,0.95
0.0233109046103624,4,0.05
0.0625357195405574,4,0.25
0.118819958938163,4,0.5
0.186121243984486,4,0.75
0.303372461706436,4,0.95
0.0233109046103624,5,0.05
0.0625350939822003,5,0.25
0.118815646431452,5,0.5
0.186118459780791,5,0.75
0.303369204889428,5,0.95
0.0233108317422401,6,0.05
0.062529014568575,6,0.25
0.118805472077782,6,0.5
0.186110078924418,6,0.75
0.303357005131486,6,0.95
0.0233107917849971,7,0.05
0.0625251622884065,7,0.25
0.118798821979503,7,0.5
0.186104141289334,7,0.75
0.303348200834434,7,0.95
