"outcome","input","quant"
0.145201467027626,0,0.05
0.266489666587757,0,0.25
0.389850116602172,0,0.5
0.532457515764601,0,0.75
0.730278667799159,0,0.95
0.145199747058502,1,0.05
0.266482942018974,1,0.25
0.389841106209964,1,0.5
0.532449651423479,1,0.75
0.730274501073316,1,0.95
0.145345567230887,2,0.05
0.2666878141185,2,0.25
0.390088718645542,2,0.5
0.532666865998981,2,0.75
0.730441989815641,2,0.95
0.14534417126124,3,0.05
0.266684912813871,3,0.25
0.390095469891781,3,0.5
0.53268657173641,3,0.75
0.730465584944377,3,0.95
0.14533018295694,4,0.05
0.266649170746208,4,0.25
0.390040558707922,4,0.5
0.532631606435487,4,0.75
0.730419502573594,4,0.95
0.145327574878796,5,0.05
0.26664426775685,5,0.25
0.390031672921118,5,0.5
0.532627052380892,5,0.75
0.730417200375431,5,0.95
0.145317959466722,6,0.05
0.266625331304306,6,0.25
0.390002545000225,6,0.5
0.532591511568033,6,0.75
0.73038032735529,6,0.95
0.145315009550395,7,0.05
0.266614847632269,7,0.25
0.389976404413411,7,0.5
0.532551763446633,7,0.75
0.730365279427511,7,0.95
