"outcome","input","quant"
9.47552407136657e-11,1,0.05
3.11915301864517e-09,1,0.25
3.7202365670348e-08,1,0.5
4.26349522374481e-07,1,0.75
1.468970281762e-05,1,0.95
9.35113746216264e-11,2,0.05
3.11526087869959e-09,2,0.25
3.81483506512201e-08,2,0.5
4.53383850221862e-07,2,0.75
1.71617020935568e-05,2,0.95
6.23813241531684e-11,3,0.05
2.20008642942242e-09,3,0.25
2.78608605754382e-08,3,0.5
3.46301317777017e-07,3,0.75
1.36170590297486e-05,3,0.95
5.61586790514903e-11,4,0.05
1.81449441289517e-09,4,0.25
2.13667049206302e-08,4,0.5
2.48634501059161e-07,4,0.75
9.19248944344121e-06,4,0.95
3.82329771557196e-11,5,0.05
1.23536492557106e-09,5,0.25
1.41068312830762e-08,5,0.5
1.56446708810589e-07,5,0.75
5.2259237213731e-06,5,0.95
3.33879391350483e-11,6,0.05
1.0545663381093e-09,6,0.25
1.22315183913245e-08,6,0.5
1.39448734091418e-07,6,0.75
5.20451908092552e-06,6,0.95
6.46731328650925e-11,7,0.05
2.13197912012854e-09,7,0.25
2.51734944219414e-08,7,0.5
2.92403226108282e-07,7,0.75
1.07554161826636e-05,7,0.95
2.24034863059784e-11,8,0.05
7.65338181097852e-10,8,0.25
9.62384462177417e-09,8,0.5
1.19303306972762e-07,8,0.75
4.90646842286454e-06,8,0.95
5.50847760146335e-11,9,0.05
1.91598689268832e-09,9,0.25
2.40595209264988e-08,9,0.5
3.01061447261311e-07,9,0.75
1.26581542269465e-05,9,0.95
9.26228193201682e-11,10,0.05
3.12997450088155e-09,10,0.25
3.83171939715781e-08,10,0.5
4.65521768390031e-07,10,0.75
1.89197468644193e-05,10,0.95
4.50682037252737e-11,11,0.05
1.45119506153763e-09,11,0.25
1.67312296144449e-08,11,0.5
1.86610585383395e-07,11,0.75
6.656312984932e-06,11,0.95
9.71986031413833e-11,12,0.05
3.53227512061934e-09,12,0.25
4.4631886033502e-08,12,0.5
5.40267635022917e-07,12,0.75
2.09483673965731e-05,12,0.95
