"outcome","input","quant"
0.00612848776899924,1,0.05
0.0143599475137166,1,0.25
0.0320860648951583,1,0.5
0.0736891637953204,1,0.75
0.161858946368184,1,0.95
0.00657119651181732,2,0.05
0.0149663248696665,2,0.25
0.030667693685792,2,0.5
0.0675495153760761,2,0.75
0.140076422833971,2,0.95
0.00616013325007854,3,0.05
0.0141800817157652,3,0.25
0.0288288995180295,3,0.5
0.0637005140074938,3,0.75
0.133435665994363,3,0.95
0.00629768563470766,4,0.05
0.0143257756034759,4,0.25
0.0309448846229923,4,0.5
0.0715371332314917,4,0.75
0.155933454177946,4,0.95
0.0063123477572176,5,0.05
0.0144246383238292,5,0.25
0.0303468759673029,5,0.5
0.0672737514021199,5,0.75
0.140249151231505,5,0.95
0.00645025302569077,6,0.05
0.0147749235851653,6,0.25
0.0304840508164473,6,0.5
0.0667451650409331,6,0.75
0.140001421940143,6,0.95
0.00612437486118056,7,0.05
0.014281562763477,7,0.25
0.0320762395284445,7,0.5
0.0736926948011612,7,0.75
0.160783229550715,7,0.95
0.00687642881194212,8,0.05
0.0156212294110024,8,0.25
0.033009679547872,8,0.5
0.072595990032074,8,0.75
0.151858033365343,8,0.95
0.00589229679601456,9,0.05
0.0140126886527885,9,0.25
0.0298938655332603,9,0.5
0.0664753271343766,9,0.75
0.140084637146328,9,0.95
0.00557642264552231,10,0.05
0.0132429844592204,10,0.25
0.029753629561959,10,0.5
0.0682382964733199,10,0.75
0.150333157320929,10,0.95
0.00601999126457699,11,0.05
0.0140723828509934,11,0.25
0.0300619423415032,11,0.5
0.066745084510748,11,0.75
0.140162063802848,11,0.95
0.00617269420058331,12,0.05
0.014326512934096,12,0.25
0.0300030320075384,12,0.5
0.0669364861907346,12,0.75
0.140595531477783,12,0.95
