"outcome","input","quant"
0.00887543937744301,1,0.05
0.0309128356858166,1,0.25
0.097903947332549,1,0.5
0.196179100594197,1,0.75
0.374149356038741,1,0.95
0.0177287864437494,2,0.05
0.0522368624549511,2,0.25
0.137101779226164,2,0.5
0.248922137612888,2,0.75
0.429886472449381,2,0.95
0.0184444939017355,3,0.05
0.053845253564787,3,0.25
0.139092883694992,3,0.5
0.248503750633677,3,0.75
0.421890300853567,3,0.95
0.00901844366225339,4,0.05
0.0329947099079034,4,0.25
0.10633281455193,4,0.5
0.218019940548201,4,0.75
0.409722125122713,4,0.95
0.0102691475780193,5,0.05
0.0339538422095238,5,0.25
0.102310764531564,5,0.5
0.206288122764271,5,0.75
0.389943641247454,5,0.95
0.00982751442890601,6,0.05
0.0322984674931285,6,0.25
0.0965110372057108,6,0.5
0.194231416088182,6,0.75
0.36914903032164,6,0.95
0.00688644232038813,7,0.05
0.0254210465735995,7,0.25
0.0876867190734859,7,0.5
0.185982143697249,7,0.75
0.370159216315987,7,0.95
0.00836558831444118,8,0.05
0.027487907379897,8,0.25
0.0874224928388797,8,0.5
0.183297400966349,8,0.75
0.365179319440727,8,0.95
0.00898056550936626,9,0.05
0.0286318386718066,9,0.25
0.0879779128187107,9,0.5
0.180638593405946,9,0.75
0.35392751141507,9,0.95
0.00666010580782109,10,0.05
0.0260293057053129,10,0.25
0.0910607956362939,10,0.5
0.196320151895102,10,0.75
0.387716727072144,10,0.95
0.0102569467916763,11,0.05
0.0330407952366541,11,0.25
0.0995474417478993,11,0.5
0.198069104867739,11,0.75
0.376142804276482,11,0.95
0.0153395243329604,12,0.05
0.0433679537429531,12,0.25
0.116071691377438,12,0.5
0.216665323082672,12,0.75
0.394015879665556,12,0.95
