"outcome","input","quant"
0.0036602407175248,1,0.05
0.0123879729456193,1,0.25
0.0491449805000732,1,0.5
0.149942712374896,1,0.75
0.311797335439534,1,0.95
0.00315551809660862,2,0.05
0.0114915290131813,2,0.25
0.041378092975196,2,0.5
0.133669095242394,2,0.75
0.288302127315795,2,0.95
0.00276729881936986,3,0.05
0.0102763098581683,3,0.25
0.0373368714367749,3,0.5
0.12335413411632,3,0.75
0.271849821603351,3,0.95
0.00362763434958827,4,0.05
0.0122420792799066,4,0.25
0.0492935579439377,4,0.5
0.152336003100548,4,0.75
0.316975747470069,4,0.95
0.00325222016285623,5,0.05
0.0116056570423953,5,0.25
0.0418035778799643,5,0.5
0.134667823006933,5,0.75
0.288250303869961,5,0.95
0.00311121461867019,6,0.05
0.0113916050313536,6,0.25
0.039784249526546,6,0.5
0.127209746678957,6,0.75
0.277702164067527,6,0.95
0.00370606324389148,7,0.05
0.0124749666121388,7,0.25
0.0494794699251125,7,0.5
0.150538193400987,7,0.75
0.31104320963364,7,0.95
0.00350039325801393,8,0.05
0.0122904839978459,8,0.25
0.0447253309902628,8,0.5
0.141860141759501,8,0.75
0.299011731775026,8,0.95
0.00305012931427362,9,0.05
0.0110705753383513,9,0.25
0.0390778284148446,9,0.5
0.126831912265609,9,0.75
0.278778878896173,9,0.95
0.00364098328134015,10,0.05
0.012324488882016,10,0.25
0.0480039855763398,10,0.5
0.147536996535552,10,0.75
0.30904377034289,10,0.95
0.00324686667683576,11,0.05
0.0119122899943127,11,0.25
0.0412625017270684,11,0.5
0.129771778660931,11,0.75
0.280131422418615,11,0.95
0.00304568931951138,12,0.05
0.0110951924377741,12,0.25
0.0388300663145195,12,0.5
0.124717849989329,12,0.75
0.27204122673708,12,0.95
