"outcome","input","quant"
0.00192476293562483,1,0.05
0.00679655388305333,1,0.25
0.0454568393047752,1,0.5
0.16969675334752,1,0.75
0.336641307862491,1,0.95
0.00156339306499839,2,0.05
0.00553883739647879,2,0.25
0.0391884324697086,2,0.5
0.15165156164249,2,0.75
0.300068623648076,2,0.95
0.0014398763695156,3,0.05
0.0051235360922348,3,0.25
0.0362499063656795,3,0.5
0.141140055557375,3,0.75
0.282181570426574,3,0.95
0.00191065710009968,4,0.05
0.00673782203997858,4,0.25
0.0452868869759879,4,0.5
0.16867284687435,4,0.75
0.335802641113295,4,0.95
0.00164809252585513,5,0.05
0.00581842949464936,5,0.25
0.0396871378787993,5,0.5
0.150998839630385,5,0.75
0.298055034419266,5,0.95
0.00155274253929983,6,0.05
0.00551050837988734,6,0.25
0.0377839585801332,6,0.5
0.145233483190782,6,0.75
0.289129386561875,6,0.95
0.00199746248564906,7,0.05
0.00704183487827998,7,0.25
0.0461559585095981,7,0.5
0.171095901402467,7,0.75
0.341757018149326,7,0.95
0.00192500928478806,8,0.05
0.00667695293447754,8,0.25
0.0432609186141373,8,0.5
0.159083024927579,8,0.75
0.31832390480135,8,0.95
0.00152523792193998,9,0.05
0.00542486943904943,9,0.25
0.0362160172659027,9,0.5
0.135937207508274,9,0.75
0.273845296019002,9,0.95
0.00187895695217266,10,0.05
0.00673512837876836,10,0.25
0.0431554184769286,10,0.5
0.158729409395083,10,0.75
0.322208661966266,10,0.95
0.00160300510867115,11,0.05
0.00577745469819843,11,0.25
0.0385783951798028,11,0.5
0.146610397338976,11,0.75
0.289369703414732,11,0.95
0.00151310954028565,12,0.05
0.00545937570528462,12,0.25
0.0376132939502961,12,0.5
0.14359956384088,12,0.75
0.28580253755991,12,0.95
