"outcome","input","quant"
0.0235296501739892,1,0.05
0.0637596914998159,1,0.25
0.121296521484031,1,0.5
0.192752388907199,1,0.75
0.313269245528327,1,0.95
0.0236953076356512,2,0.05
0.0613484971142265,2,0.25
0.113286491697484,2,0.5
0.179246697970004,2,0.75
0.289614034526088,2,0.95
0.0236207182274533,3,0.05
0.0612819793538818,3,0.25
0.111948733599698,3,0.5
0.176471704783377,3,0.75
0.285558998233225,3,0.95
0.0228364884349769,4,0.05
0.0611616318636393,4,0.25
0.117443358304942,4,0.5
0.188434680882366,4,0.75
0.306845577110555,4,0.95
0.0260277655471267,5,0.05
0.0678103868788498,5,0.25
0.124473137814947,5,0.5
0.192331234861389,5,0.75
0.303943245063145,5,0.95
0.0257577300106188,6,0.05
0.0677410760874322,6,0.25
0.124000950187262,6,0.5
0.191259898614903,6,0.75
0.305249451646245,6,0.95
0.0239014939972629,7,0.05
0.0644445250521358,7,0.25
0.122521040873315,7,0.5
0.194960686032321,7,0.75
0.316635642830216,7,0.95
0.0268161428795398,8,0.05
0.0710336700153202,8,0.25
0.129372347769164,8,0.5
0.198411828780986,8,0.75
0.314955987299472,8,0.95
0.0259911426837317,9,0.05
0.068006669640392,9,0.25
0.122626116435177,9,0.5
0.187615375885971,9,0.75
0.300086534034372,9,0.95
0.022182517625789,10,0.05
0.0610074581586178,10,0.25
0.115052012405491,10,0.5
0.180714540123261,10,0.75
0.29722795782081,10,0.95
0.0252118545522655,11,0.05
0.0662368806007776,11,0.25
0.120057801081083,11,0.5
0.184738383376499,11,0.75
0.297652177306078,11,0.95
0.0239572213582109,12,0.05
0.0620834141509455,12,0.25
0.112392523328001,12,0.5
0.174401838171408,12,0.75
0.282104034308797,12,0.95
