"outcome","input","quant"
0.00520317986349061,1,0.05
0.0117105362293174,1,0.25
0.0245853721289856,1,0.5
0.0541343628758205,1,0.75
0.112980295608024,1,0.95
0.0062063696167517,2,0.05
0.0130629051919634,2,0.25
0.0277133074588762,2,0.5
0.0629346278756939,2,0.75
0.128028641101995,2,0.95
0.00492628328634119,3,0.05
0.0111677084895487,3,0.25
0.0240443563069451,3,0.5
0.0533245807547306,3,0.75
0.111124882075827,3,0.95
0.00738513210523818,5,0.05
0.0155624197959744,5,0.25
0.0341854147028578,5,0.5
0.0763495958561219,5,0.75
0.151568263640074,5,0.95
0.00230151439797902,6,0.05
0.00463202861641557,6,0.25
0.0088794832924325,6,0.5
0.0204548303931809,6,0.75
0.0484053763779102,6,0.95
0.00253495321349866,7,0.05
0.00503698824807141,7,0.25
0.00989076961747475,7,0.5
0.0213246067176145,7,0.75
0.0510976527552977,7,0.95
0.0040235253089813,8,0.05
0.00796175606568809,8,0.25
0.0149268377221152,8,0.5
0.0355072191733422,8,0.75
0.0785091186813327,8,0.95
0.00683045317234759,9,0.05
0.0138371117892751,9,0.25
0.028665107134125,9,0.5
0.0652444484993194,9,0.75
0.142028576221372,9,0.95
0.0044104484510509,11,0.05
0.0102325525436665,11,0.25
0.0209494559260589,11,0.5
0.0450769834505479,11,0.75
0.091183600649602,11,0.95
0.00741546410236923,12,0.05
0.0161984702016451,12,0.25
0.0348585422137686,12,0.5
0.0770066175749382,12,0.75
0.156203901589032,12,0.95
0.00814378062755263,13,0.05
0.0167835440448097,13,0.25
0.0334284409542847,13,0.5
0.0716680601620398,13,0.75
0.142541135038113,13,0.95
0.00681550645257885,14,0.05
0.0143624281615837,14,0.25
0.0282544547692661,14,0.5
0.0585548637527943,14,0.75
0.113165709087206,14,0.95
0.0087689123580407,15,0.05
0.0205870990878264,15,0.25
0.0510995814442179,15,0.5
0.0991858304882776,15,0.75
0.188341492304228,15,0.95
0.00727912850381972,16,0.05
0.0160369821191044,16,0.25
0.0347479536152323,16,0.5
0.0775843483425171,16,0.75
0.15574440999063,16,0.95
0.00742148029869778,17,0.05
0.0148353254813518,17,0.25
0.0297114215704396,17,0.5
0.0608056135034893,17,0.75
0.122338676588698,17,0.95
0.00445742167878851,18,0.05
0.00966063210332603,18,0.25
0.0200572928148067,18,0.5
0.0453790708259816,18,0.75
0.0974011711409073,18,0.95
0.0108577286138249,19,0.05
0.0227634702619473,19,0.25
0.047504161475235,19,0.5
0.0908487630564111,19,0.75
0.169789707679192,19,0.95
