"outcome","input","quant"
0.00132515797808299,1,0.05
0.00422596546205011,1,0.25
0.0279954133389139,1,0.5
0.102125877034665,1,0.75
0.214916775800826,1,0.95
0.00182574431732807,2,0.05
0.00601534844095795,2,0.25
0.0394246753871732,2,0.5
0.146994286106868,2,0.75
0.289599552869468,2,0.95
0.00216005817797353,3,0.05
0.00673342044423483,3,0.25
0.0426615380596771,3,0.5
0.15682161524163,3,0.75
0.295185441144796,3,0.95
0.00129612284716284,5,0.05
0.00388609854552508,5,0.25
0.0349817082913344,5,0.5
0.144100774287148,5,0.75
0.28933193357422,5,0.95
0.000606718552624482,6,0.05
0.00187916662547637,6,0.25
0.0153966062934638,6,0.5
0.0684124860604847,6,0.75
0.162933341949229,6,0.95
0.00138611594885327,7,0.05
0.00480346417386567,7,0.25
0.046727387292789,7,0.5
0.197606388657846,7,0.75
0.390466047232409,7,0.95
0.000965158379894265,8,0.05
0.00303444034315975,8,0.25
0.0210774695169103,8,0.5
0.0824865777179796,8,0.75
0.185739387349531,8,0.95
0.00127103978651731,9,0.05
0.00436431558197589,9,0.25
0.0315396086068946,9,0.5
0.121113770302018,9,0.75
0.27239447464832,9,0.95
0.00234499435591741,11,0.05
0.0073776452327459,11,0.25
0.0715040505155458,11,0.5
0.26059316477096,11,0.75
0.469940686412777,11,0.95
0.00162494282392151,12,0.05
0.0051790709266517,12,0.25
0.0439741256666357,12,0.5
0.167851191113583,12,0.75
0.330902567605956,12,0.95
0.00195656384051214,13,0.05
0.00579559724151939,13,0.25
0.0416548493837903,13,0.5
0.150410678612165,13,0.75
0.286231399232694,13,0.95
0.00242041257068939,14,0.05
0.00768529599080667,14,0.25
0.043602209685695,14,0.5
0.1537755237636,14,0.75
0.309141758867469,14,0.95
0.0025165954325015,15,0.05
0.00831761747319212,15,0.25
0.0531295831066572,15,0.5
0.173337933745611,15,0.75
0.335092911975623,15,0.95
0.00204196297021115,16,0.05
0.00642101587326395,16,0.25
0.046708808441478,16,0.5
0.168890212681205,16,0.75
0.322654248841424,16,0.95
0.00312021431510951,17,0.05
0.00904643345822064,17,0.25
0.0459952569098139,17,0.5
0.140729966339892,17,0.75
0.275904877452142,17,0.95
0.0037349888009862,18,0.05
0.0111753623702081,18,0.25
0.0663719085637766,18,0.5
0.211216408248933,18,0.75
0.397857142801445,18,0.95
0.00216729173283894,19,0.05
0.00648645725750592,19,0.25
0.0357439371502249,19,0.5
0.116081524996368,19,0.75
0.243390261847899,19,0.95
