"outcome","input","quant"
2.189839844026e-07,1,0.05
1.14904396899213e-06,1,0.25
4.14548635035551e-06,1,0.5
1.91365763691598e-05,1,0.75
0.000297541888275499,1,0.95
4.59406466506667e-07,2,0.05
2.06328192576273e-06,2,0.25
6.33369412955788e-06,2,0.5
2.33949600456462e-05,2,0.75
0.000566463352133626,2,0.95
2.57507942163229e-07,3,0.05
1.41800533002802e-06,3,0.25
6.03468025029436e-06,3,0.5
4.00655435652197e-05,3,0.75
0.000929161258365033,3,0.95
3.52690759561091e-07,5,0.05
1.71507385085354e-06,5,0.25
5.60091469503178e-06,5,0.5
2.25394850932422e-05,5,0.75
0.000551376289055783,5,0.95
2.43861173831397e-08,6,0.05
9.67772757195598e-08,6,0.25
2.73890015437837e-07,6,0.5
9.25023788140716e-07,6,0.75
1.31522472428237e-05,6,0.95
7.93864011768988e-08,7,0.05
3.29632355483718e-07,7,0.25
9.499292900176e-07,7,0.5
3.14783805073212e-06,7,0.75
4.07885513733007e-05,7,0.95
4.83229082425193e-08,8,0.05
1.85246694802673e-07,8,0.25
4.98857318049873e-07,8,0.5
1.57315560811862e-06,8,0.75
2.0505654236258e-05,8,0.95
3.00049514464883e-07,9,0.05
1.36944323513771e-06,9,0.25
4.30016088258266e-06,9,0.5
1.64358727759429e-05,9,0.75
0.000241190086989299,9,0.95
3.3125270711877e-07,11,0.05
1.42857014106315e-06,11,0.25
4.38962690718218e-06,11,0.5
1.63741751642768e-05,11,0.75
0.000312311846105064,11,0.95
4.62514693964741e-07,12,0.05
2.06960540141057e-06,12,0.25
6.72332590703725e-06,12,0.5
3.26041077034115e-05,12,0.75
0.00056881990999833,12,0.95
3.00322014732129e-07,13,0.05
1.37172130701795e-06,13,0.25
4.35104539285504e-06,13,0.5
1.7886922243967e-05,13,0.75
0.000247314489205368,13,0.95
1.18111952867899e-07,14,0.05
5.87390180683753e-07,14,0.25
2.06341893725384e-06,14,0.5
9.06235804081638e-06,14,0.75
0.000134949189224213,14,0.95
8.47188560007049e-08,15,0.05
4.58588397707425e-07,15,0.25
1.63086351439376e-06,15,0.5
6.80654559525637e-06,15,0.75
8.85678671194805e-05,15,0.95
5.14216605225635e-07,16,0.05
2.40185157044534e-06,16,0.25
7.67205492748783e-06,16,0.5
3.01098601256031e-05,16,0.75
0.000706090520789161,16,0.95
3.42541368973978e-07,17,0.05
1.70518944365464e-06,17,0.25
6.07357346203733e-06,17,0.5
3.01900978603541e-05,17,0.75
0.000635246678626082,17,0.95
5.71352208133758e-08,18,0.05
2.37543541380684e-07,18,0.25
6.8584774145831e-07,18,0.5
2.30379080726478e-06,18,0.75
2.5793708634685e-05,18,0.95
1.3138883568577e-07,19,0.05
5.76245449855037e-07,19,0.25
1.7275646343572e-06,19,0.5
6.22887892054152e-06,19,0.75
7.54107473343125e-05,19,0.95
