"outcome","input","quant"
0.00854929567963451,1,0.05
0.0228253249342364,1,0.25
0.041490877363428,1,0.5
0.0851598374583285,1,0.75
0.201182510222733,1,0.95
0.00446276039695899,2,0.05
0.0122548823096544,2,0.25
0.0253536966641533,2,0.5
0.0628112606551433,2,0.75
0.17445462971432,2,0.95
0.00459347208801939,3,0.05
0.0128992288858518,3,0.25
0.0257322357017554,3,0.5
0.0534660728424664,3,0.75
0.129145728744419,3,0.95
0.00443303088008813,5,0.05
0.0127868705132797,5,0.25
0.0274249443176853,5,0.5
0.072594735436003,5,0.75
0.182602396936436,5,0.95
0.00211415494874445,6,0.05
0.00482817058171472,6,0.25
0.00900190025180317,6,0.5
0.0258567445428654,6,0.75
0.0840568673288423,6,0.95
0.00217863742205601,7,0.05
0.00502046254162695,7,0.25
0.00989378754314737,7,0.5
0.0288468754426773,7,0.75
0.0950773799913683,7,0.95
0.0031873522544929,8,0.05
0.00785210867943608,8,0.25
0.0148271785393405,8,0.5
0.0417293391962242,8,0.75
0.132658363883502,8,0.95
0.00340155896558585,9,0.05
0.00877597077750574,9,0.25
0.0177657030428538,9,0.5
0.0474578860944441,9,0.75
0.140477040801912,9,0.95
0.00487879530168978,11,0.05
0.013904591617025,11,0.25
0.0290076583084527,11,0.5
0.0705560232936626,11,0.75
0.196592346617792,11,0.95
0.00498154476378761,12,0.05
0.016467738403427,12,0.25
0.0376981497599772,12,0.5
0.0888705007440687,12,0.75
0.234818944402178,12,0.95
0.00508992061021747,13,0.05
0.0133796829701646,13,0.25
0.025344896643914,13,0.5
0.0601086365335209,13,0.75
0.180548717699476,13,0.95
0.00631876307450192,14,0.05
0.0168412343872089,14,0.25
0.0319348179355995,14,0.5
0.0650290649990243,14,0.75
0.163058058513742,14,0.95
0.00517245777411239,15,0.05
0.0149596875248487,15,0.25
0.0322409416685045,15,0.5
0.0792467734645686,15,0.75
0.217735082993161,15,0.95
0.00694415009025655,16,0.05
0.0196918744982484,16,0.25
0.038762240104366,16,0.5
0.0858258542906877,16,0.75
0.223060604786515,16,0.95
0.0120723482985714,17,0.05
0.0299159779634222,17,0.25
0.0535386296230331,17,0.5
0.0958180711745489,17,0.75
0.208145196330305,17,0.95
0.0117497496546934,18,0.05
0.038042673587556,18,0.25
0.0781301753889783,18,0.5
0.140347392533693,18,0.75
0.269173438419894,18,0.95
0.0223936465819171,19,0.05
0.0499106611108168,19,0.25
0.0816654077400564,19,0.5
0.13813692789488,19,0.75
0.281005672568383,19,0.95
