"outcome","input","quant"
0.0244518712203398,1,0.05
0.0533319988284124,1,0.25
0.101011032593386,1,0.5
0.158925766670693,1,0.75
0.241891394071362,1,0.95
0.0246760129731999,2,0.05
0.0591597589077452,2,0.25
0.114310061046424,2,0.5
0.186154657356978,2,0.75
0.289017254900574,2,0.95
0.0283787341330986,3,0.05
0.0675537668018513,3,0.25
0.116172241089181,3,0.5
0.175391248546807,3,0.75
0.271424341185733,3,0.95
0.0311200002920465,5,0.05
0.0738118831236644,5,0.25
0.128051383192224,5,0.5
0.193393641590349,5,0.75
0.296059806711778,5,0.95
0.0542711403400736,6,0.05
0.119695073064067,6,0.25
0.218913089807368,6,0.5
0.329767049046764,6,0.75
0.470161914934981,6,0.95
0.0077352787240741,7,0.05
0.0164852422480707,7,0.25
0.032168848066462,7,0.5
0.0589663928559337,7,0.75
0.104175774934171,7,0.95
0.027987996322125,8,0.05
0.0598019036647309,8,0.25
0.108875382342806,8,0.5
0.175132429532904,8,0.75
0.26907785486273,8,0.95
0.0259385350652613,9,0.05
0.0610474918125092,9,0.25
0.117092789599429,9,0.5
0.191517613080206,9,0.75
0.299628074488986,9,0.95
0.019629557537825,11,0.05
0.0528191724555603,11,0.25
0.0909668941554115,11,0.5
0.137516495214054,11,0.75
0.222606640857723,11,0.95
0.0282429840901732,12,0.05
0.0680481977621436,12,0.25
0.128579539069919,12,0.5
0.204379664333654,12,0.75
0.32060306213444,12,0.95
0.0323424028646909,13,0.05
0.0758032291826857,13,0.25
0.128108226674113,13,0.5
0.188609226761411,13,0.75
0.297943244531717,13,0.95
0.0331452272116954,14,0.05
0.0703648926924447,14,0.25
0.119504752328062,14,0.5
0.176937262034788,14,0.75
0.268031027610224,14,0.95
0.0305092381533044,15,0.05
0.0735452941937963,15,0.25
0.131077223333926,15,0.5
0.206657508672718,15,0.75
0.331436148987656,15,0.95
0.0357506362676041,16,0.05
0.0802971248302047,16,0.25
0.137735110599543,16,0.5
0.208957890821135,16,0.75
0.331355994608306,16,0.95
0.0294312991321308,17,0.05
0.0628781269521603,17,0.25
0.106641726960857,17,0.5
0.159510003340034,17,0.75
0.250519219520046,17,0.95
0.0435412808910931,18,0.05
0.102484523588139,18,0.25
0.166070605697406,18,0.5
0.235821642675698,18,0.75
0.353042860045917,18,0.95
0.0373196837401464,19,0.05
0.0767435941585416,19,0.25
0.128488830145065,19,0.5
0.199205335097781,19,0.75
0.300756631923921,19,0.95
