"outcome","input","quant"
0.0094631552042863,2186953.93336378,0.05
0.0371772730704904,2186953.93336378,0.25
0.117359070306494,2186953.93336378,0.5
0.235727661114974,2186953.93336378,0.75
0.425364966381791,2186953.93336378,0.95
0.00912618477830424,2252976.79610793,0.05
0.0356998759444052,2252976.79610793,0.25
0.113193445534093,2252976.79610793,0.5
0.228594873977159,2252976.79610793,0.75
0.415429367600425,2252976.79610793,0.95
0.00891420947544148,2318999.65885209,0.05
0.0345190337054496,2318999.65885209,0.25
0.109346957789223,2318999.65885209,0.5
0.220591341351719,2318999.65885209,0.75
0.403330266207028,2318999.65885209,0.95
0.00865850732453958,2385022.52159624,0.05
0.0336097362264183,2385022.52159624,0.25
0.106697953010361,2385022.52159624,0.5
0.215727288416185,2385022.52159624,0.75
0.39498313637215,2385022.52159624,0.95
0.00814651545754874,2451045.3843404,0.05
0.0325731011931424,2451045.3843404,0.25
0.105795304168821,2451045.3843404,0.5
0.217825461063386,2451045.3843404,0.75
0.400413654990315,2451045.3843404,0.95
0.00825267506728633,2517068.24708455,0.05
0.0326731731217662,2517068.24708455,0.25
0.102410601226359,2517068.24708455,0.5
0.205231331160824,2517068.24708455,0.75
0.380012689954509,2517068.24708455,0.95
0.00839453943059815,2583091.10982871,0.05
0.0317163882753235,2583091.10982871,0.25
0.0985785958730445,2583091.10982871,0.5
0.197136479828168,2583091.10982871,0.75
0.368857343285296,2583091.10982871,0.95
0.00831415813682673,2649113.97257286,0.05
0.0311326604932799,2649113.97257286,0.25
0.0959810290665424,2649113.97257286,0.5
0.189866841028596,2649113.97257286,0.75
0.355274934856971,2649113.97257286,0.95
0.0074896890717311,2715136.83531702,0.05
0.0285562457498119,2715136.83531702,0.25
0.0896589025114348,2715136.83531702,0.5
0.180920753520354,2715136.83531702,0.75
0.345128607631041,2715136.83531702,0.95
0.00742086450927083,2781159.69806117,0.05
0.0282858355423988,2781159.69806117,0.25
0.0888506852258918,2781159.69806117,0.5
0.179216587291396,2781159.69806117,0.75
0.342220301282482,2781159.69806117,0.95
