"outcome","input","quant"
0.00321855505372428,2186953.93336378,0.05
0.0115991201232002,2186953.93336378,0.25
0.0436312305469394,2186953.93336378,0.5
0.141079962692726,2186953.93336378,0.75
0.303778794456738,2186953.93336378,0.95
0.00319865114451942,2252976.79610793,0.05
0.0115132346523558,2252976.79610793,0.25
0.0432132268688544,2252976.79610793,0.5
0.139614225295951,2252976.79610793,0.75
0.301454041112118,2252976.79610793,0.95
0.00328024003811668,2318999.65885209,0.05
0.0116907846259381,2318999.65885209,0.25
0.0435950167314433,2318999.65885209,0.5
0.139711455616152,2318999.65885209,0.75
0.301104491384285,2318999.65885209,0.95
0.00330097084922804,2385022.52159624,0.05
0.0117559824976941,2385022.52159624,0.25
0.0438381813929385,2385022.52159624,0.5
0.140281639598851,2385022.52159624,0.75
0.301964875708263,2385022.52159624,0.95
0.00330939792850059,2451045.3843404,0.05
0.0117188811334205,2451045.3843404,0.25
0.043542228508094,2451045.3843404,0.5
0.139423549022355,2451045.3843404,0.75
0.301297812412278,2451045.3843404,0.95
0.00337087140463616,2517068.24708455,0.05
0.0118456608931374,2517068.24708455,0.25
0.0441343421502325,2517068.24708455,0.5
0.140018177971494,2517068.24708455,0.75
0.30154762913982,2517068.24708455,0.95
0.00337131135034693,2583091.10982871,0.05
0.0119143709808169,2583091.10982871,0.25
0.0445053133601753,2583091.10982871,0.5
0.141075029029704,2583091.10982871,0.75
0.303078600819387,2583091.10982871,0.95
0.00321031180960457,2649113.97257286,0.05
0.0114825097805629,2649113.97257286,0.25
0.0429512429826469,2649113.97257286,0.5
0.137816653152548,2649113.97257286,0.75
0.298533813959552,2649113.97257286,0.95
0.00324736660478286,2715136.83531702,0.05
0.0116086454129474,2715136.83531702,0.25
0.0434712990665505,2715136.83531702,0.5
0.139164986678222,2715136.83531702,0.75
0.300415665276574,2715136.83531702,0.95
0.00324291584130861,2781159.69806117,0.05
0.0116155143153123,2781159.69806117,0.25
0.0435018936875345,2781159.69806117,0.5
0.139334098308568,2781159.69806117,0.75
0.300715760591981,2781159.69806117,0.95
