"outcome","input","quant"
0.00337299822555666,2186953.93336378,0.05
0.00732905831546064,2186953.93336378,0.25
0.0155798025838762,2186953.93336378,0.5
0.036904709102381,2186953.93336378,0.75
0.104705213224821,2186953.93336378,0.95
0.00335938096460006,2252976.79610793,0.05
0.00732967999784873,2252976.79610793,0.25
0.0159470985585069,2252976.79610793,0.5
0.0378778804832528,2252976.79610793,0.75
0.106668747359888,2252976.79610793,0.95
0.00340782289309545,2318999.65885209,0.05
0.00740614202486741,2318999.65885209,0.25
0.0161251393126881,2318999.65885209,0.5
0.0381836180307312,2318999.65885209,0.75
0.107060304252213,2318999.65885209,0.95
0.00346164985317088,2385022.52159624,0.05
0.0075243979855378,2385022.52159624,0.25
0.0162912319206443,2385022.52159624,0.5
0.038676367495241,2385022.52159624,0.75
0.107894828123967,2385022.52159624,0.95
0.00348017501861252,2451045.3843404,0.05
0.00753674959459118,2451045.3843404,0.25
0.0163668509297524,2451045.3843404,0.5
0.0386587381233804,2451045.3843404,0.75
0.107749565149649,2451045.3843404,0.95
0.00355258744485798,2517068.24708455,0.05
0.00772175818951653,2517068.24708455,0.25
0.0165296843367532,2517068.24708455,0.5
0.0392657377507128,2517068.24708455,0.75
0.108831104254792,2517068.24708455,0.95
0.00352468327392578,2583091.10982871,0.05
0.00769934658287879,2583091.10982871,0.25
0.0168997569809101,2583091.10982871,0.5
0.0398181122842471,2583091.10982871,0.75
0.109473708112136,2583091.10982871,0.95
0.00352539649212883,2649113.97257286,0.05
0.00771381587581531,2649113.97257286,0.25
0.0169758190245824,2649113.97257286,0.5
0.0401465810845038,2649113.97257286,0.75
0.111489278110183,2649113.97257286,0.95
0.00357712730392546,2715136.83531702,0.05
0.00783261491986969,2715136.83531702,0.25
0.0172376627647338,2715136.83531702,0.5
0.0407624808815561,2715136.83531702,0.75
0.112881231285858,2715136.83531702,0.95
0.00348978255202694,2781159.69806117,0.05
0.0076451990039701,2781159.69806117,0.25
0.0168264358231412,2781159.69806117,0.5
0.0398351739234445,2781159.69806117,0.75
0.110627006967285,2781159.69806117,0.95
