"outcome","input","quant"
0.00574097241383675,1,0.05
0.0135481349428997,1,0.25
0.0301474924011037,1,0.5
0.0700388167923196,1,0.75
0.155593788278088,1,0.95
0.0061396032889767,2,0.05
0.0143993853718423,2,0.25
0.030937463993479,2,0.5
0.0692213986755429,2,0.75
0.148483530730328,2,0.95
0.00620392194866071,3,0.05
0.0144407765567671,3,0.25
0.0308308615408941,3,0.5
0.0686234363850363,3,0.75
0.145383275223808,3,0.95
0.0061546118045319,4,0.05
0.0143199985157914,4,0.25
0.0305597081957424,4,0.5
0.0683947701156509,4,0.75
0.145273338653157,4,0.95
0.00598441462408212,5,0.05
0.0138954183701524,5,0.25
0.0296409185265678,5,0.5
0.0671000419171707,5,0.75
0.144079871509782,5,0.95
