"outcome","input","quant"
0.00350122901466012,1,0.05
0.00767448198493083,1,0.25
0.016294377402372,1,0.5
0.0404158113193001,1,0.75
0.112445973656787,1,0.95
0.00347391340919438,2,0.05
0.00755873185622108,2,0.25
0.0164943350588176,2,0.5
0.0392563820694655,2,0.75
0.108882682794124,2,0.95
0.00344337439676492,3,0.05
0.00750593717135988,3,0.25
0.0165298660268116,3,0.5
0.0380307086724535,3,0.75
0.10469214008507,3,0.95
0.00348342328617214,4,0.05
0.00758171320635645,4,0.25
0.0165240886712601,4,0.5
0.0378379329098814,4,0.75
0.104613357897254,4,0.95
0.00344857477043969,5,0.05
0.00747443215283135,5,0.25
0.0163105381533196,5,0.5
0.0375137842352634,5,0.75
0.10437435318372,5,0.95
