"outcome","input","quant"
1.92157930168925e-08,1,0.05
1.93168855078578e-07,1,0.25
1.06235693297749e-06,1,0.5
7.03155868097248e-06,1,0.75
0.000183991281869992,1,0.95
1.96670730781808e-08,2,0.05
2.01463960679386e-07,2,0.25
1.12109482861177e-06,2,0.5
7.49324676881975e-06,2,0.75
0.000192989008431106,2,0.95
2.18840821639323e-08,3,0.05
2.21869614605636e-07,3,0.25
1.21497185689671e-06,3,0.5
7.83792086856949e-06,3,0.75
0.000184521539246409,3,0.95
1.87832827389569e-08,4,0.05
1.91234545447315e-07,4,0.25
1.0546491317803e-06,4,0.5
6.9806625205271e-06,4,0.75
0.0001792529850465,4,0.95
1.57449789296623e-08,5,0.05
1.52382261363559e-07,5,0.25
8.18576176979225e-07,5,0.5
5.26459568859669e-06,5,0.75
0.000127985197572343,5,0.95
