"outcome","input","quant"
0.00460704232356284,1,0.05
0.0137477365736938,1,0.25
0.031031258111978,1,0.5
0.0758310907981602,1,0.75
0.209381542439224,1,0.95
0.0043025854515827,2,0.05
0.0131607496250429,2,0.25
0.0296467565049762,2,0.5
0.0718640189011398,2,0.75
0.194845214434464,2,0.95
0.00428294633959184,3,0.05
0.0130489248388632,3,0.25
0.0288083118206638,3,0.5
0.068845200362201,3,0.75
0.184496014857725,3,0.95
0.00414470145341037,4,0.05
0.0125229288647308,4,0.25
0.0275002928186276,4,0.5
0.0662982345208695,4,0.75
0.178788409264452,4,0.95
0.00410004419849451,5,0.05
0.0124148728034112,5,0.25
0.0270886485189655,5,0.5
0.0653313015577531,5,0.75
0.177358523409703,5,0.95
