"outcome","input","quant"
0.0229784484215692,1,0.05
0.0621094496823063,1,0.25
0.118649480210467,1,0.5
0.190393464337606,1,0.75
0.31081252994258,1,0.95
0.0235047837533325,2,0.05
0.063294512104841,2,0.25
0.118066064275059,2,0.5
0.185664258229677,2,0.75
0.301954898239237,2,0.95
0.0241554271799976,3,0.05
0.064667240558195,3,0.25
0.118879476778922,3,0.5
0.184002170763076,3,0.75
0.296312586557399,3,0.95
0.023934529936688,4,0.05
0.0638111476921103,4,0.25
0.117714111008224,4,0.5
0.182743660681028,4,0.75
0.294488963130978,4,0.95
0.0236944137654267,5,0.05
0.0629172615255773,5,0.25
0.116840520954587,5,0.5
0.182671001432994,5,0.75
0.295054677049925,5,0.95
