"outcome","input","quant"
0.133911962998328,1,0.05
0.254373588516864,1,0.25
0.378298442315837,1,0.5
0.520044974586244,1,0.75
0.723899054159076,1,0.95
0.146507964138998,2,0.05
0.268303036820998,2,0.25
0.390337598537075,2,0.5
0.528285300791741,2,0.75
0.725930124698464,2,0.95
0.155807133598849,3,0.05
0.278769465881979,3,0.25
0.399598108238826,3,0.5
0.536538986134361,3,0.75
0.731428954714402,3,0.95
0.160506428187372,4,0.05
0.284938993012326,4,0.25
0.405911588672694,4,0.5
0.542722992675573,4,0.75
0.736561523649411,4,0.95
0.162090969796077,5,0.05
0.287142281787408,5,0.25
0.408324213711835,5,0.5
0.5451510333215,5,0.75
0.737919352611762,5,0.95
