"outcome","input","quant"
3.64765831739917e-12,2000,0.05
6.60433560369914e-11,2000,0.25
5.30686709172748e-10,2000,0.5
4.78670072805812e-09,2000,0.75
1.40858541083509e-07,2000,0.95
3.64765831739917e-12,2001,0.05
6.60433560369914e-11,2001,0.25
5.30686709172748e-10,2001,0.5
4.78670072805812e-09,2001,0.75
1.40858541083509e-07,2001,0.95
3.64765831739917e-12,2002,0.05
6.60433560369914e-11,2002,0.25
5.30686709172748e-10,2002,0.5
4.78670072805812e-09,2002,0.75
1.40858541083509e-07,2002,0.95
3.64765831739917e-12,2003,0.05
6.60433560369914e-11,2003,0.25
5.30686709172748e-10,2003,0.5
4.78670072805812e-09,2003,0.75
1.40858541083509e-07,2003,0.95
3.64765831739917e-12,2004,0.05
6.60433560369914e-11,2004,0.25
5.30686709172748e-10,2004,0.5
4.78670072805812e-09,2004,0.75
1.40858541083509e-07,2004,0.95
3.64765831739917e-12,2005,0.05
6.60433560369914e-11,2005,0.25
5.30686709172748e-10,2005,0.5
4.78670072805812e-09,2005,0.75
1.40858541083509e-07,2005,0.95
3.64765831739917e-12,2006,0.05
6.60433560369914e-11,2006,0.25
5.30686709172748e-10,2006,0.5
4.78670072805812e-09,2006,0.75
1.40858541083509e-07,2006,0.95
3.64765831739917e-12,2007,0.05
6.60433560369914e-11,2007,0.25
5.30686709172748e-10,2007,0.5
4.78670072805812e-09,2007,0.75
1.40858541083509e-07,2007,0.95
3.64765831739917e-12,2008,0.05
6.60433560369914e-11,2008,0.25
5.30686709172748e-10,2008,0.5
4.78670072805812e-09,2008,0.75
1.40858541083509e-07,2008,0.95
3.64765831739917e-12,2009,0.05
6.60433560369914e-11,2009,0.25
5.30686709172748e-10,2009,0.5
4.78670072805812e-09,2009,0.75
1.40858541083509e-07,2009,0.95
3.64765831739917e-12,2010,0.05
6.60433560369914e-11,2010,0.25
5.30686709172748e-10,2010,0.5
4.78670072805812e-09,2010,0.75
1.40858541083509e-07,2010,0.95
3.64765831739917e-12,2011,0.05
6.60433560369914e-11,2011,0.25
5.30686709172748e-10,2011,0.5
4.78670072805812e-09,2011,0.75
1.40858541083509e-07,2011,0.95
3.64765831739917e-12,2012,0.05
6.60433560369914e-11,2012,0.25
5.30686709172748e-10,2012,0.5
4.78670072805812e-09,2012,0.75
1.40858541083509e-07,2012,0.95
3.64765831739917e-12,2013,0.05
6.60433560369914e-11,2013,0.25
5.30686709172748e-10,2013,0.5
4.78670072805812e-09,2013,0.75
1.40858541083509e-07,2013,0.95
3.64765831739917e-12,2014,0.05
6.60433560369914e-11,2014,0.25
5.30686709172748e-10,2014,0.5
4.78670072805812e-09,2014,0.75
1.40858541083509e-07,2014,0.95
3.64765831739917e-12,2015,0.05
6.60433560369914e-11,2015,0.25
5.30686709172748e-10,2015,0.5
4.78670072805812e-09,2015,0.75
1.40858541083509e-07,2015,0.95
3.64765831739917e-12,2016,0.05
6.60433560369914e-11,2016,0.25
5.30686709172748e-10,2016,0.5
4.78670072805812e-09,2016,0.75
1.40858541083509e-07,2016,0.95
3.64765831739917e-12,2017,0.05
6.60433560369914e-11,2017,0.25
5.30686709172748e-10,2017,0.5
4.78670072805812e-09,2017,0.75
1.40858541083509e-07,2017,0.95
3.64765831739917e-12,2018,0.05
6.60433560369914e-11,2018,0.25
5.30686709172748e-10,2018,0.5
4.78670072805812e-09,2018,0.75
1.40858541083509e-07,2018,0.95
3.64765831739917e-12,2019,0.05
6.60433560369914e-11,2019,0.25
5.30686709172748e-10,2019,0.5
4.78670072805812e-09,2019,0.75
1.40858541083509e-07,2019,0.95
3.64765831739917e-12,2020,0.05
6.60433560369914e-11,2020,0.25
5.30686709172748e-10,2020,0.5
4.78670072805812e-09,2020,0.75
1.40858541083509e-07,2020,0.95
3.64765831739917e-12,2021,0.05
6.60433560369914e-11,2021,0.25
5.30686709172748e-10,2021,0.5
4.78670072805812e-09,2021,0.75
1.40858541083509e-07,2021,0.95
3.64765831739917e-12,2022,0.05
6.60433560369914e-11,2022,0.25
5.30686709172748e-10,2022,0.5
4.78670072805812e-09,2022,0.75
1.40858541083509e-07,2022,0.95
3.64765831739917e-12,2023,0.05
6.60433560369914e-11,2023,0.25
5.30686709172748e-10,2023,0.5
4.78670072805812e-09,2023,0.75
1.40858541083509e-07,2023,0.95
