"outcome","input","quant"
0.00690945972609126,2000,0.05
0.0158264958414305,2000,0.25
0.0356472856591087,2000,0.5
0.0747048912397787,2000,0.75
0.15922485719401,2000,0.95
0.00690945972609126,2001,0.05
0.0158264958414305,2001,0.25
0.0356472856591087,2001,0.5
0.0747048912397787,2001,0.75
0.15922485719401,2001,0.95
0.00690945972609126,2002,0.05
0.0158264958414305,2002,0.25
0.0356472856591087,2002,0.5
0.0747048912397787,2002,0.75
0.15922485719401,2002,0.95
0.00690945972609126,2003,0.05
0.0158264958414305,2003,0.25
0.0356472856591087,2003,0.5
0.0747048912397787,2003,0.75
0.15922485719401,2003,0.95
0.00690945972609126,2004,0.05
0.0158264958414305,2004,0.25
0.0356472856591087,2004,0.5
0.0747048912397787,2004,0.75
0.15922485719401,2004,0.95
0.00690945972609126,2005,0.05
0.0158264958414305,2005,0.25
0.0356472856591087,2005,0.5
0.0747048912397787,2005,0.75
0.15922485719401,2005,0.95
0.00690945972609126,2006,0.05
0.0158264958414305,2006,0.25
0.0356472856591087,2006,0.5
0.0747048912397787,2006,0.75
0.15922485719401,2006,0.95
0.00690945972609126,2007,0.05
0.0158264958414305,2007,0.25
0.0356472856591087,2007,0.5
0.0747048912397787,2007,0.75
0.15922485719401,2007,0.95
0.00690945972609126,2008,0.05
0.0158264958414305,2008,0.25
0.0356472856591087,2008,0.5
0.0747048912397787,2008,0.75
0.15922485719401,2008,0.95
0.00690945972609126,2009,0.05
0.0158264958414305,2009,0.25
0.0356472856591087,2009,0.5
0.0747048912397787,2009,0.75
0.15922485719401,2009,0.95
0.00690945972609126,2010,0.05
0.0158264958414305,2010,0.25
0.0356472856591087,2010,0.5
0.0747048912397787,2010,0.75
0.15922485719401,2010,0.95
0.00690945972609126,2011,0.05
0.0158264958414305,2011,0.25
0.0356472856591087,2011,0.5
0.0747048912397787,2011,0.75
0.15922485719401,2011,0.95
0.00690945972609126,2012,0.05
0.0158264958414305,2012,0.25
0.0356472856591087,2012,0.5
0.0747048912397787,2012,0.75
0.15922485719401,2012,0.95
0.00690945972609126,2013,0.05
0.0158264958414305,2013,0.25
0.0356472856591087,2013,0.5
0.0747048912397787,2013,0.75
0.15922485719401,2013,0.95
0.00690945972609126,2014,0.05
0.0158264958414305,2014,0.25
0.0356472856591087,2014,0.5
0.0747048912397787,2014,0.75
0.15922485719401,2014,0.95
0.00690945972609126,2015,0.05
0.0158264958414305,2015,0.25
0.0356472856591087,2015,0.5
0.0747048912397787,2015,0.75
0.15922485719401,2015,0.95
0.00690945972609126,2016,0.05
0.0158264958414305,2016,0.25
0.0356472856591087,2016,0.5
0.0747048912397787,2016,0.75
0.15922485719401,2016,0.95
0.00690945972609126,2017,0.05
0.0158264958414305,2017,0.25
0.0356472856591087,2017,0.5
0.0747048912397787,2017,0.75
0.15922485719401,2017,0.95
0.00690945972609126,2018,0.05
0.0158264958414305,2018,0.25
0.0356472856591087,2018,0.5
0.0747048912397787,2018,0.75
0.15922485719401,2018,0.95
0.00690945972609126,2019,0.05
0.0158264958414305,2019,0.25
0.0356472856591087,2019,0.5
0.0747048912397787,2019,0.75
0.15922485719401,2019,0.95
0.00690945972609126,2020,0.05
0.0158264958414305,2020,0.25
0.0356472856591087,2020,0.5
0.0747048912397787,2020,0.75
0.15922485719401,2020,0.95
0.00690945972609126,2021,0.05
0.0158264958414305,2021,0.25
0.0356472856591087,2021,0.5
0.0747048912397787,2021,0.75
0.15922485719401,2021,0.95
0.00690945972609126,2022,0.05
0.0158264958414305,2022,0.25
0.0356472856591087,2022,0.5
0.0747048912397787,2022,0.75
0.15922485719401,2022,0.95
0.00690945972609126,2023,0.05
0.0158264958414305,2023,0.25
0.0356472856591087,2023,0.5
0.0747048912397787,2023,0.75
0.15922485719401,2023,0.95
