"outcome","input","quant"
0.00632334551087679,2000,0.05
0.0249519858810674,2000,0.25
0.0820282496303083,2000,0.5
0.175205393855216,2000,0.75
0.352208851381649,2000,0.95
0.00632334551087679,2001,0.05
0.0249519858810674,2001,0.25
0.0820282496303083,2001,0.5
0.175205393855216,2001,0.75
0.352208851381649,2001,0.95
0.00632334551087679,2002,0.05
0.0249519858810674,2002,0.25
0.0820282496303083,2002,0.5
0.175205393855216,2002,0.75
0.352208851381649,2002,0.95
0.00632334551087679,2003,0.05
0.0249519858810674,2003,0.25
0.0820282496303083,2003,0.5
0.175205393855216,2003,0.75
0.352208851381649,2003,0.95
0.00632334551087679,2004,0.05
0.0249519858810674,2004,0.25
0.0820282496303083,2004,0.5
0.175205393855216,2004,0.75
0.352208851381649,2004,0.95
0.00632334551087679,2005,0.05
0.0249519858810674,2005,0.25
0.0820282496303083,2005,0.5
0.175205393855216,2005,0.75
0.352208851381649,2005,0.95
0.00632334551087679,2006,0.05
0.0249519858810674,2006,0.25
0.0820282496303083,2006,0.5
0.175205393855216,2006,0.75
0.352208851381649,2006,0.95
0.00632334551087679,2007,0.05
0.0249519858810674,2007,0.25
0.0820282496303083,2007,0.5
0.175205393855216,2007,0.75
0.352208851381649,2007,0.95
0.00632334551087679,2008,0.05
0.0249519858810674,2008,0.25
0.0820282496303083,2008,0.5
0.175205393855216,2008,0.75
0.352208851381649,2008,0.95
0.00632334551087679,2009,0.05
0.0249519858810674,2009,0.25
0.0820282496303083,2009,0.5
0.175205393855216,2009,0.75
0.352208851381649,2009,0.95
0.00632334551087679,2010,0.05
0.0249519858810674,2010,0.25
0.0820282496303083,2010,0.5
0.175205393855216,2010,0.75
0.352208851381649,2010,0.95
0.00632334551087679,2011,0.05
0.0249519858810674,2011,0.25
0.0820282496303083,2011,0.5
0.175205393855216,2011,0.75
0.352208851381649,2011,0.95
0.00632334551087679,2012,0.05
0.0249519858810674,2012,0.25
0.0820282496303083,2012,0.5
0.175205393855216,2012,0.75
0.352208851381649,2012,0.95
0.00632334551087679,2013,0.05
0.0249519858810674,2013,0.25
0.0820282496303083,2013,0.5
0.175205393855216,2013,0.75
0.352208851381649,2013,0.95
0.00632334551087679,2014,0.05
0.0249519858810674,2014,0.25
0.0820282496303083,2014,0.5
0.175205393855216,2014,0.75
0.352208851381649,2014,0.95
0.00632334551087679,2015,0.05
0.0249519858810674,2015,0.25
0.0820282496303083,2015,0.5
0.175205393855216,2015,0.75
0.352208851381649,2015,0.95
0.00632334551087679,2016,0.05
0.0249519858810674,2016,0.25
0.0820282496303083,2016,0.5
0.175205393855216,2016,0.75
0.352208851381649,2016,0.95
0.00632334551087679,2017,0.05
0.0249519858810674,2017,0.25
0.0820282496303083,2017,0.5
0.175205393855216,2017,0.75
0.352208851381649,2017,0.95
0.00632334551087679,2018,0.05
0.0249519858810674,2018,0.25
0.0820282496303083,2018,0.5
0.175205393855216,2018,0.75
0.352208851381649,2018,0.95
0.00632334551087679,2019,0.05
0.0249519858810674,2019,0.25
0.0820282496303083,2019,0.5
0.175205393855216,2019,0.75
0.352208851381649,2019,0.95
0.00632334551087679,2020,0.05
0.0249519858810674,2020,0.25
0.0820282496303083,2020,0.5
0.175205393855216,2020,0.75
0.352208851381649,2020,0.95
0.00632334551087679,2021,0.05
0.0249519858810674,2021,0.25
0.0820282496303083,2021,0.5
0.175205393855216,2021,0.75
0.352208851381649,2021,0.95
0.00632334551087679,2022,0.05
0.0249519858810674,2022,0.25
0.0820282496303083,2022,0.5
0.175205393855216,2022,0.75
0.352208851381649,2022,0.95
0.00632334551087679,2023,0.05
0.0249519858810674,2023,0.25
0.0820282496303083,2023,0.5
0.175205393855216,2023,0.75
0.352208851381649,2023,0.95
