"outcome","input","quant"
0.135774252324407,2000,0.05
0.254649612836051,2000,0.25
0.369429005305881,2000,0.5
0.496180289971621,2000,0.75
0.66627078656991,2000,0.95
0.135774252324407,2001,0.05
0.254649612836051,2001,0.25
0.369429005305881,2001,0.5
0.496180289971621,2001,0.75
0.66627078656991,2001,0.95
0.135774252324407,2002,0.05
0.254649612836051,2002,0.25
0.369429005305881,2002,0.5
0.496180289971621,2002,0.75
0.66627078656991,2002,0.95
0.135774252324407,2003,0.05
0.254649612836051,2003,0.25
0.369429005305881,2003,0.5
0.496180289971621,2003,0.75
0.66627078656991,2003,0.95
0.135774252324407,2004,0.05
0.254649612836051,2004,0.25
0.369429005305881,2004,0.5
0.496180289971621,2004,0.75
0.66627078656991,2004,0.95
0.135774252324407,2005,0.05
0.254649612836051,2005,0.25
0.369429005305881,2005,0.5
0.496180289971621,2005,0.75
0.66627078656991,2005,0.95
0.135774252324407,2006,0.05
0.254649612836051,2006,0.25
0.369429005305881,2006,0.5
0.496180289971621,2006,0.75
0.66627078656991,2006,0.95
0.135774252324407,2007,0.05
0.254649612836051,2007,0.25
0.369429005305881,2007,0.5
0.496180289971621,2007,0.75
0.66627078656991,2007,0.95
0.135774252324407,2008,0.05
0.254649612836051,2008,0.25
0.369429005305881,2008,0.5
0.496180289971621,2008,0.75
0.66627078656991,2008,0.95
0.135774252324407,2009,0.05
0.254649612836051,2009,0.25
0.369429005305881,2009,0.5
0.496180289971621,2009,0.75
0.66627078656991,2009,0.95
0.135774252324407,2010,0.05
0.254649612836051,2010,0.25
0.369429005305881,2010,0.5
0.496180289971621,2010,0.75
0.66627078656991,2010,0.95
0.135774252324407,2011,0.05
0.254649612836051,2011,0.25
0.369429005305881,2011,0.5
0.496180289971621,2011,0.75
0.66627078656991,2011,0.95
0.135774252324407,2012,0.05
0.254649612836051,2012,0.25
0.369429005305881,2012,0.5
0.496180289971621,2012,0.75
0.66627078656991,2012,0.95
0.135774252324407,2013,0.05
0.254649612836051,2013,0.25
0.369429005305881,2013,0.5
0.496180289971621,2013,0.75
0.66627078656991,2013,0.95
0.135774252324407,2014,0.05
0.254649612836051,2014,0.25
0.369429005305881,2014,0.5
0.496180289971621,2014,0.75
0.66627078656991,2014,0.95
0.135774252324407,2015,0.05
0.254649612836051,2015,0.25
0.369429005305881,2015,0.5
0.496180289971621,2015,0.75
0.66627078656991,2015,0.95
0.135774252324407,2016,0.05
0.254649612836051,2016,0.25
0.369429005305881,2016,0.5
0.496180289971621,2016,0.75
0.66627078656991,2016,0.95
0.135774252324407,2017,0.05
0.254649612836051,2017,0.25
0.369429005305881,2017,0.5
0.496180289971621,2017,0.75
0.66627078656991,2017,0.95
0.135774252324407,2018,0.05
0.254649612836051,2018,0.25
0.369429005305881,2018,0.5
0.496180289971621,2018,0.75
0.66627078656991,2018,0.95
0.135774252324407,2019,0.05
0.254649612836051,2019,0.25
0.369429005305881,2019,0.5
0.496180289971621,2019,0.75
0.66627078656991,2019,0.95
0.135774252324407,2020,0.05
0.254649612836051,2020,0.25
0.369429005305881,2020,0.5
0.496180289971621,2020,0.75
0.66627078656991,2020,0.95
0.135774252324407,2021,0.05
0.254649612836051,2021,0.25
0.369429005305881,2021,0.5
0.496180289971621,2021,0.75
0.66627078656991,2021,0.95
0.135774252324407,2022,0.05
0.254649612836051,2022,0.25
0.369429005305881,2022,0.5
0.496180289971621,2022,0.75
0.66627078656991,2022,0.95
0.135774252324407,2023,0.05
0.254649612836051,2023,0.25
0.369429005305881,2023,0.5
0.496180289971621,2023,0.75
0.66627078656991,2023,0.95
