"outcome","input","quant"
0.483635427080817,1,0.05
0.532410579585139,1,0.25
0.550525481109586,1,0.5
0.576294747879837,1,0.75
0.637180704274867,1,0.95
0.483635427080817,2,0.05
0.532410579585139,2,0.25
0.550525481109586,2,0.5
0.576294747879837,2,0.75
0.637180704274867,2,0.95
0.483711152770596,3,0.05
0.532410579585139,3,0.25
0.551354861766324,3,0.5
0.576294747879837,3,0.75
0.6372317475945,3,0.95
0.481097460374213,5,0.05
0.532410579585139,5,0.25
0.551689463703727,5,0.5
0.577251046148966,5,0.75
0.6372317475945,5,0.95
0.482199149145835,6,0.05
0.533508960761996,6,0.25
0.552780598548286,6,0.5
0.578327519014,6,0.75
0.638251201516671,6,0.95
0.482208274882318,7,0.05
0.533566825617332,7,0.25
0.55326355216713,7,0.5
0.578327519014,7,0.75
0.638829335915469,7,0.95
0.482836615943006,8,0.05
0.533644288110286,8,0.25
0.554668558866098,8,0.5
0.579294579243336,8,0.75
0.639744075640415,8,0.95
0.481830383479967,9,0.05
0.532989782696038,9,0.25
0.553866109912995,9,0.5
0.578146639682984,9,0.75
0.640941633552782,9,0.95
0.485357977622495,11,0.05
0.536504124052991,11,0.25
0.557353822556129,11,0.5
0.581587930650668,11,0.75
0.643602911740349,11,0.95
0.48579313473751,12,0.05
0.53666456898434,12,0.25
0.557564608075096,12,0.5
0.581906057560823,12,0.75
0.643978275898483,12,0.95
0.486510418518311,13,0.05
0.53755753721202,13,0.25
0.558034797371537,13,0.5
0.58311802141889,13,0.75
0.644321707033272,13,0.95
0.485305222634768,14,0.05
0.535723357475429,14,0.25
0.556992029091305,14,0.5
0.581674951285115,14,0.75
0.642966381844567,14,0.95
0.487928983378427,15,0.05
0.537889715353621,15,0.25
0.558071514354434,15,0.5
0.582965396724546,15,0.75
0.644060980329316,15,0.95
0.487928983378427,16,0.05
0.537889715353621,16,0.25
0.558071514354434,16,0.5
0.582965396724546,16,0.75
0.644060980329316,16,0.95
0.485412096878755,17,0.05
0.535461406245315,17,0.25
0.556031588792647,17,0.5
0.582156039305634,17,0.75
0.642156806958397,17,0.95
0.485412096878755,18,0.05
0.535461406245315,18,0.25
0.556031588792647,18,0.5
0.582156039305634,18,0.75
0.642156806958397,18,0.95
0.485643914287745,19,0.05
0.535490539830836,19,0.25
0.556055184274212,19,0.5
0.582314484552801,19,0.75
0.642252948210401,19,0.95
